EID	massfeature_rows	str_row_ion	compounds	compound_names
E86	row2253	row2253_M+H[1+]	CE2006;CE6506	$
E87	row2252	row2252_M+H[1+]	CE2006;CE6506	$
E88	row3483	row3483_M+Na[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C13747;C07480;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose
E89	row3485	row3485_M+Na[1+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C13747;C07480;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose
E90	row2896;row2930;row468;row469;row472;row473;row474;row475	row2896_M+H[1+];row2930_M(C13)+H[1+];row468_M+2H[2+];row469_M+2H[2+];row472_M+2H[2+];row473_M+2H[2+];row474_M+2H[2+];row475_M+2H[2+]	C00031;C00221;C02336;C00267;C00962;C00795;C00137;C00984;C00159	D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$alpha-D-Galactose$D-Mannose
E101	row468;row469;row472;row473;row474;row475	row468_M+H[1+];row469_M+H[1+];row472_M+H[1+];row473_M+H[1+];row474_M+H[1+];row475_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E102	row459;row470	row459_M+H[1+];row470_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E103	row464	row464_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E104	row457	row457_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E105	row465	row465_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E106	row455;row461;row462	row455_M+H[1+];row461_M+H[1+];row462_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E107	row456	row456_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E108	row460	row460_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E109	row458	row458_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E110	row454	row454_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E111	row453;row463;row466;row467;row471	row453_M+H[1+];row463_M+H[1+];row466_M+H[1+];row467_M+H[1+];row471_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone
E112	row2878;row2880;row2896;row468;row469;row472;row473;row474;row475	row2878_M[1+];row2880_M[1+];row2896_M+H[1+];row468_M+2H[2+];row469_M+2H[2+];row472_M+2H[2+];row473_M+2H[2+];row474_M+2H[2+];row475_M+2H[2+]	C13747;C07480	1,7-Dimethylxanthine; Paraxanthine$
E113	row2896;row468;row469;row472;row473;row474;row475	row2896_M+Na[1+];row468_M+H+Na[2+];row469_M+H+Na[2+];row472_M+H+Na[2+];row473_M+H+Na[2+];row474_M+H+Na[2+];row475_M+H+Na[2+]	CE4970;CE4968	2-methylbutyrylglycine$isovalerylglycine
E127	row2337	row2337_M+H[1+]	C03087	5-Acetamidopentanoate
E128	row2338;row4137	row2338_M+H[1+];row4137_M+HCOONa[1+]	C03087	5-Acetamidopentanoate
E129	row2339	row2339_M+H[1+]	C03087	5-Acetamidopentanoate
E133	row507	row507_M+H[1+]	CE1950	cyanosulfurous acid anion
E135	row3004	row3004_M+Na[1+]	C05172	Selenophosphate
E137	row539;row547	row539_M+H[1+];row547_M(C13)+H[1+]	C00292	Aniline; Phenylamine; Benzenamine; Arylamine
E138	row588;row589	row588_M+H[1+];row589_M+H[1+]	C00059	Sulfate
E142	row4000;row622	row4000_M+Na[1+];row622_M+2H[2+]	C01036;C01061	4-Maleylacetoacetate$4-Fumarylacetoacetate
E143	row4001	row4001_M+Na[1+]	C01036;C01061	4-Maleylacetoacetate$4-Fumarylacetoacetate
E156	row633	row633_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E157	row634	row634_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E158	row636	row636_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E159	row628	row628_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E160	row629	row629_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E161	row627;row630	row627_M+H[1+];row630_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E162	row631	row631_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E163	row632	row632_M+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E164	row635;row643	row635_M+H[1+];row643_M(C13)+H[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E165	row703	row703_M+H[1+]	C02356;C01026;C00334;C05145;C01205;C03284	(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$N,N-Dimethylglycine; Dimethylglycine$4-Aminobutanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$D-3-Amino-isobutanoate$L-3-Amino-isobutanoate
E168	row756	row756_M+H[1+]	C00065;C00740	L-Serine$D-Serine
E169	row757	row757_M+H[1+]	C00065;C00740	L-Serine$D-Serine
E170	row4226;row756	row4226_M+Na[1+];row756_M(C13)+2H[2+]	C16604	2-Hydroxyiminostilbene
E171	row3696	row3696_M+H[1+]	C16604	2-Hydroxyiminostilbene
E176	row3132;row3715	row3132_M+H[1+];row3715_M+Na[1+]	C08261	
E177	row3716	row3716_M+Na[1+]	C08261	
E183	row4365	row4365_M+Na[1+]	C16015	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol
E184	row4366;row791	row4366_M+Na[1+];row791_M+2H[2+]	C16015	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol
E188	row837	row837_M+H[1+]	C00380	Cytosine
E189	row850;row874	row850_M+H[1+];row874_M(C13)+H[1+]	C00106	Uracil
E190	row854	row854_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E191	row853	row853_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E192	row852	row852_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E193	row855;row856;row857;row858	row855_M+H[1+];row856_M+H[1+];row857_M+H[1+];row858_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E194	row876	row876_M+H[1+]	C03564	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate
E197	row4701	row4701_M+Na[1+]	C00931	Porphobilinogen
E198	row4111	row4111_M+H[1+]	C00931	Porphobilinogen
E200	row4110	row4110_M+H[1+]	C00931	Porphobilinogen
E201	row1693;row877;row904	row1693_M+Na[1+];row877_M+H[1+];row904_M(C13)+H[1+]	C00791	
E206	row4139;row903	row4139_M+H[1+];row903_M(C13)+2H[2+]	C00881	Deoxycytidine
E211	row1721	row1721_M+Na[1+]	C02512;C00429	Beta cyanoalanine$5,6-dihydrouracil
E214	row4783	row4783_M+Na[1+]	CE2615	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
E217	row1754;row927	row1754_M+Na[1+];row927_M+H[1+]	CE4788;C00763;C00148	acetamidopropanal$D-Proline$L-Proline
E219	row938	row938_M+Na[1+]	C06755	Chloroacetic acid; Chloroethanoic acid
E220	row937	row937_M+Na[1+]	C06755	Chloroacetic acid; Chloroethanoic acid
E221	row939	row939_M+Na[1+]	C06755	Chloroacetic acid; Chloroethanoic acid
E222	row1016;row1017;row1785;row1786	row1016_M+H[1+];row1017_M+H[1+];row1785_M+Na[1+];row1786_M+Na[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E223	row1032	row1032_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E224	row1029	row1029_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E225	row1022	row1022_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E226	row1024	row1024_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E227	row1020	row1020_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E228	row1026	row1026_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E229	row1021	row1021_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E230	row1018	row1018_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E231	row1019	row1019_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E232	row1031	row1031_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E233	row1027	row1027_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E234	row1023;row1025;row1028;row1030	row1023_M+H[1+];row1025_M+H[1+];row1028_M+H[1+];row1030_M+H[1+]	C00719;C00431;C00183	Glycine betaine$5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine
E235	row1077;row1800	row1077_M+H[1+];row1800_M+Na[1+]	C02170;C00042	Methylmalonate; Methylmalonic acid$Succinate
E236	row1074;row1075;row1076	row1074_M+H[1+];row1075_M+H[1+];row1076_M+H[1+]	C02170;C00042	Methylmalonate; Methylmalonic acid$Succinate
E242	row1856	row1856_M+Na[1+]	C15587;C02045	Purine$
E245	row1853	row1853_M+Na[1+]	C15587	Purine
E248	row1111;row1826	row1111_M+H[1+];row1826_M+Na[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E249	row1110	row1110_M+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E251	row1155	row1155_M+H[1+]	C00957	Mercaptopyruvate
E252	row3892;row3894	row3892_M+H[1+];row3894_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E253	row3893	row3893_M+H[1+]	C03740	5-L-Glutamyl-L-alanine
E256	row1177	row1177_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E257	row1166	row1166_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E258	row1167	row1167_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E259	row1162;row1176	row1162_M+H[1+];row1176_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E260	row1170	row1170_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E261	row1168	row1168_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E262	row1163	row1163_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E263	row1171	row1171_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E264	row1169	row1169_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E265	row1165	row1165_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E266	row1164	row1164_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E267	row1172;row1173;row1174;row1175	row1172_M+H[1+];row1173_M+H[1+];row1174_M+H[1+];row1175_M+H[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E268	row1217;row1238	row1217_M+H[1+];row1238_M(C13)+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E269	row1219	row1219_M+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E270	row1218	row1218_M+H[1+]	C00180;C00633	Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde
E271	row1220;row1239	row1220_M+H[1+];row1239_M(C13)+H[1+]	C00153	Nicotinamide
E274	row1912	row1912_M+Na[1+]	C05823	3-Mercaptolactate
E275	row1260	row1260_M+Na[1+]	C00232;C06002;C00349;C00109;C00164	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate$(S)-Methylmalonate semialdehyde$2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde$2-Oxobutanoate$Acetoacetate
E278	row4665;row4666	row4665_M+H[1+];row4666_M+H[1+]	C00018	Pyridoxal 5'-phosphate
E280	row4664	row4664_M+H[1+]	C00018	Pyridoxal 5'-phosphate
E287	row1266	row1266_M+H[1+]	C05827	3-Methylimidazole acetaldehyde
E288	row1289;row1290;row1309;row2002;row2003	row1289_M+H[1+];row1290_M+H[1+];row1309_M(C13)+H[1+];row2002_M+Na[1+];row2003_M+Na[1+]	C00245	Taurine
E291	row5446	row5446_M+Na[1+]	C16560	3-Hydroxylidocaine
E294	row1310	row1310_M+Na[1+]	C05984;C01089;C03197;C06001;C00989	2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid
E295	row1315;row1316;row1318	row1315_M+Na[1+];row1316_M+Na[1+];row1318_M+Na[1+]	C05984;C01089;C03197;C06001;C00989	2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid
E299	row1319	row1319_M+H[1+]	C00178;C02835	Thymine$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate
E301	row1358;row1430;row1460;row2130	row1358_M[1+];row1430_M+H[1+];row1460_M(C13)+H[1+];row2130_M+Na[1+]	C00906	5,6-Dihydrothymine
E302	row1431;row1432	row1431_M+H[1+];row1432_M+H[1+]	C00906	5,6-Dihydrothymine
E306	row4261	row4261_M+H[1+]	C01598	Melatonin; N-Acetyl-5-methoxytryptamine
E309	row1364	row1364_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E312	row5641	row5641_M+Na[1+]	C04441	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine
E313	row5642	row5642_M+Na[1+]	C04441	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine
E314	row1453;row2168	row1453_M[1+];row2168_M+Na[1+]	C07649	5-FU; Fluorouracil; 5-Fluorouracil
E316	row1455;row1511;row2153	row1455_M+H[1+];row1511_M(C13)+H[1+];row2153_M+Na[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E317	row1456;row1512;row2154	row1456_M+H[1+];row1512_M(C13)+H[1+];row2154_M+Na[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E318	row2155	row2155_M+Na[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E319	row1455;row1456;row1557;row2172;row2175;row3386;row3387;row3389	row1455_M[1+];row1456_M[1+];row1557_M(C13)+H[1+];row2172_M+Na[1+];row2175_M+Na[1+];row3386_M+HCOONa[1+];row3387_M+HCOONa[1+];row3389_M+HCOONa[1+]	CE1554	N-acetyl-L-alanine
E320	row1457;row1458;row5689	row1457_M(C13)+2H[2+];row1458_M(C13)+2H[2+];row5689_M+Na[1+]	C15522;thbpt4acam	Tetrahydrobiopterin-4a-carbinolamine$Tetrahydrobiopterin-4a-carbinolamine
E322	row5688	row5688_M+Na[1+]	C15522;thbpt4acam	Tetrahydrobiopterin-4a-carbinolamine$Tetrahydrobiopterin-4a-carbinolamine
E324	row1462;row1464;row1532;row1533;row2160	row1462_M+H[1+];row1464_M+H[1+];row1532_M(C13)+H[1+];row1533_M(C13)+H[1+];row2160_M+Na[1+]	C05936;C00408	N4-Acetylaminobutanal$L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid
E328	row5053	row5053_M+H[1+]	C07047;C07888	Ifosfamide$Cyclophosphamide anhydrous
E330	row2173	row2173_M+Na[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E331	row1530;row3388	row1530_M+H[1+];row3388_M+HCOONa[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E332	row1513;row1514;row3390	row1513_M+H[1+];row1514_M+H[1+];row3390_M+HCOONa[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E333	row1517;row1525	row1517_M+H[1+];row1525_M+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
