pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Carbon fixation	1	1	0.04764305520544492	E613	C00049/C00402	L-Aspartate/D-Aspartate
Arginine and Proline Metabolism	5	25	0.04907150659608436	E1530,E57,E374,E318,E613	C00170,C00086,C00147,C01879/C04281/C04282,C00049/C00402	5-Methylthioadenosine$Urea$Adenine$5-Oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate$L-Aspartate/D-Aspartate
Keratan sulfate degradation	2	7	0.07209478195109655	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Pentose and Glucuronate Interconversions	1	2	0.0899084110578943	E560		
Galactose metabolism	2	8	0.09016049071506596	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Aminosugars metabolism	2	8	0.09016049071506596	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
N-Glycan Degradation	2	9	0.11351987227964036	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Sialic acid metabolism	2	10	0.1385597848920259	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Alkaloid biosynthesis II	1	3	0.14091252835896143	E269		
Drug metabolism - cytochrome P450	4	28	0.16973363582892195	E961,E960,E512,E1799	C05635/C16596,C05635/C16596,C16612,	5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$Citalopram aldehyde$
Electron transport chain	1	4	0.18427022939248802	E1626		
Lipoate metabolism	1	4	0.18427022939248802	E748		
Fatty acid oxidation	1	4	0.18427022939248802	E1626		
Leukotriene metabolism	5	39	0.1937652298126208	E1687,E885,E759,E1783,E573	,,,,C00219	$$$$arachidonic acid
Ubiquinone Biosynthesis	2	13	0.20359633644231578	E1626,E679	,	$
Urea cycle/amino group metabolism	4	31	0.20527686749012689	E313,E57,E1530,E613	,C00086,C00170,C00049/C00402	$Urea$5-Methylthioadenosine$L-Aspartate/D-Aspartate
Arachidonic acid metabolism	4	31	0.20527686749012689	E1922,E573,E545,E1687	,C00219,C06426/C06427,	$arachidonic acid$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$
Methionine and cysteine metabolism	4	32	0.21737669103436685	E710,E288,E1530,E71	,,C00170,	$$5-Methylthioadenosine$
Vitamin D3 (cholecalciferol) metabolism	2	14	0.22040164692042685	E1874,E1142	,	$
Purine metabolism	4	33	0.22695571800689018	E57,E374,E613,E780	C00086,C00147,C00049/C00402,	Urea$Adenine$L-Aspartate/D-Aspartate$
Nitrogen metabolism	1	6	0.24140828501806572	E613	C00049/C00402	L-Aspartate/D-Aspartate
Putative anti-Inflammatory metabolites formation from EPA	2	16	0.25510461305772625	E1749,E1687	,	$
Pyrimidine metabolism	3	26	0.2601462062011596	E1626,E1892,E613	,,C00049/C00402	$$L-Aspartate/D-Aspartate
3-oxo-10R-octadecatrienoate beta-oxidation	1	7	0.27207797664061845	E1361		
Tyrosine metabolism	8	77	0.2830854550037812	E143,E679,E506,E991,E876,E375,E387,E71	,,,,C05583,,C03765,	$$$$3-Methoxy-4-hydroxyphenylglycolaldehyde$$4-Hydroxyphenylacetaldehyde$
Aspartate and asparagine metabolism	4	40	0.3109822703974456	E318,E57,E930,E613	C01879/C04281/C04282,C00086,,C00049/C00402	5-Oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate$Urea$$L-Aspartate/D-Aspartate
N-Glycan biosynthesis	1	9	0.3196370052936728	E1333		
Saturated fatty acids beta-oxidation	1	9	0.3196370052936728	E1367	C00249	Hexadecanoate (n-C16:0)
Hexose phosphorylation	1	10	0.33913116544828165	E679		
Limonene and pinene degradation	1	10	0.33913116544828165	E379		
Glycosphingolipid metabolism	3	33	0.3465255020586505	E1388,E1387,E1367	,,C00249	$$Hexadecanoate (n-C16:0)
Selenoamino acid metabolism	1	11	0.356272582135955	E1938		
Bile acid biosynthesis	4	46	0.36459121082261997	E1874,E1142,E288,E1032	,,,	$$$
Vitamin A (retinol) metabolism	2	24	0.3694647508612722	E541,E1550	,CE5932/C02075/C06428/CE5013	$13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/
Lysine metabolism	2	24	0.3694647508612722	E940,E1081	,	$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	12	0.3698008570708344	E613	C00049/C00402	L-Aspartate/D-Aspartate
Phosphatidylinositol phosphate metabolism	1	12	0.3698008570708344	E1367	C00249	Hexadecanoate (n-C16:0)
Glycerophospholipid metabolism	5	58	0.37190152088059825	E545,E1453,E425,E1454,E573	C06426/C06427,C01595,,C01595,C00219	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$$linoleic acid (all cis C18:2) n-6$arachidonic acid
Alanine and Aspartate Metabolism	1	13	0.37912780438618604	E613	C00049/C00402	L-Aspartate/D-Aspartate
Glutathione Metabolism	1	13	0.37912780438618604	E318	C01879/C04281/C04282	5-Oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate
Squalene and cholesterol biosynthesis	1	14	0.38895891101588104	E1333		
Porphyrin metabolism	1	14	0.38895891101588104	E1505		
Xenobiotics metabolism	2	27	0.3897991765397866	E477,E1367	,C00249	$Hexadecanoate (n-C16:0)
Fructose and mannose metabolism	1	15	0.3978657255692799	E725		
TCA cycle	1	15	0.3978657255692799	E1626		
Prostaglandin formation from arachidonate	2	31	0.413158558104361	E573,E1687	C00219,	arachidonic acid$
Vitamin E metabolism	2	32	0.41887236366691877	E1926,E1424	,	$
Beta-Alanine metabolism	1	23	0.44239979833627424	E613	C00049/C00402	L-Aspartate/D-Aspartate
C21-steroid hormone biosynthesis and metabolism	4	73	0.4568523653474498	E1639,E1505,E487,E796	,,,	$$$
Butanoate metabolism	1	35	0.46206201159566423	E129		
Androgen and estrogen biosynthesis and metabolism	1	38	0.4626501974623981	E487		
Glycine, serine, alanine and threonine metabolism	1	64	0.46374254264347536	E71		
Glycolysis and Gluconeogenesis	0	19	0.4638265691958659			
Glycosphingolipid biosynthesis - ganglioseries	0	1	0.4638265691958659			
R Group Synthesis	0	0	0.4638265691958659			
C5-Branched dibasic acid metabolism	0	0	0.4638265691958659			
Pyruvate Metabolism	0	23	0.4638265691958659			
Chondroitin sulfate degradation	0	2	0.4638265691958659			
Vitamin B2 (riboflavin) metabolism	0	0	0.4638265691958659			
Glycerolipid metabolism	0	0	0.4638265691958659			
Carnitine shuttle	0	34	0.4638265691958659			
Vitamin B1 (thiamin) metabolism	0	3	0.4638265691958659			
Glycosphingolipid biosynthesis - globoseries	0	3	0.4638265691958659			
Histidine metabolism	0	19	0.4638265691958659			
Vitamin B5 - CoA biosynthesis from pantothenate	0	7	0.4638265691958659			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	2	0.4638265691958659			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.4638265691958659			
Parathio degradation	0	4	0.4638265691958659			
Propanoate metabolism	0	26	0.4638265691958659			
Blood Group Biosynthesis	0	0	0.4638265691958659			
Vitamin H (biotin) metabolism	0	4	0.4638265691958659			
Biopterin metabolism	0	5	0.4638265691958659			
Caffeine metabolism	0	4	0.4638265691958659			
Heparan sulfate biosynthesis	0	0	0.4638265691958659			
Vitamin B9 (folate) metabolism	0	10	0.4638265691958659			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.4638265691958659			
Valine, leucine and isoleucine degradation	0	42	0.4638265691958659			
Glycosaminoglycan degradation	0	0	0.4638265691958659			
ROS Detoxification	0	0	0.4638265691958659			
CoA Catabolism	0	7	0.4638265691958659			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.4638265691958659			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.4638265691958659			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	22	0.4638265691958659			
Geraniol degradation	0	0	0.4638265691958659			
D4&E4-neuroprostanes formation	0	5	0.4638265691958659			
Vitamin D	0	2	0.4638265691958659			
Dynorphin metabolism	0	0	0.4638265691958659			
Fatty acid oxidation, peroxisome	0	4	0.4638265691958659			
Polyunsaturated fatty acid biosynthesis	0	3	0.4638265691958659			
Keratan sulfate biosynthesis	0	0	0.4638265691958659			
3-Chloroacrylic acid degradation	0	0	0.4638265691958659			
Sphingolipid metabolism	0	2	0.4638265691958659			
O-Glycan biosynthesis	0	0	0.4638265691958659			
Proteoglycan biosynthesis	0	0	0.4638265691958659			
Vitamin K metabolism	0	0	0.4638265691958659			
Glutamate metabolism	0	12	0.4638265691958659			
Benzoate degradation via CoA ligation	0	0	0.4638265691958659			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.4638265691958659			
Vitamin B6 (pyridoxine) metabolism	0	6	0.4638265691958659			
Atrazine degradation	0	0	0.4638265691958659			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.4638265691958659			
Nucleotide Sugar Metabolism	0	0	0.4638265691958659			
1- and 2-Methylnaphthalene degradation	0	0	0.4638265691958659			
Drug metabolism - other enzymes	0	10	0.4638265691958659			
Prostaglandin formation from dihomo gama-linoleic acid	0	6	0.4638265691958659			
Starch and Sucrose Metabolism	0	4	0.4638265691958659			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.4638265691958659			
Phytanic acid peroxisomal oxidation	0	5	0.4638265691958659			
Pentose phosphate pathway	0	6	0.4638265691958659			
