pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Arachidonic acid metabolism	1	7	0.21930930173934962	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Lysine metabolism	1	7	0.21930930173934962	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Valine, leucine and isoleucine degradation	1	8	0.2342660280648685	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
TCA cycle	1	8	0.2342660280648685	E424		
Prostaglandin formation from arachidonate	1	9	0.24619779850432738	E529		
Urea cycle/amino group metabolism	1	10	0.25586085202924125	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Butanoate metabolism	1	11	0.265355852449374	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aspartate and asparagine metabolism	1	15	0.2869506764137467	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycine, serine, alanine and threonine metabolism	1	17	0.2909839509284934	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tryptophan metabolism	1	17	0.2909839509284934	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tyrosine metabolism	1	20	0.2961095706243173	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Vitamin D3 (cholecalciferol) metabolism	0	3	0.3000588185866734			
Hyaluronan Metabolism	0	0	0.3000588185866734			
N-Glycan biosynthesis	0	4	0.3000588185866734			
Glycolysis and Gluconeogenesis	0	5	0.3000588185866734			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.3000588185866734			
R Group Synthesis	0	0	0.3000588185866734			
C5-Branched dibasic acid metabolism	0	0	0.3000588185866734			
Pyruvate Metabolism	0	4	0.3000588185866734			
Sialic acid metabolism	0	3	0.3000588185866734			
Chondroitin sulfate degradation	0	1	0.3000588185866734			
Di-unsaturated fatty acid beta-oxidation	0	0	0.3000588185866734			
Hexose phosphorylation	0	4	0.3000588185866734			
Vitamin B2 (riboflavin) metabolism	0	0	0.3000588185866734			
Squalene and cholesterol biosynthesis	0	2	0.3000588185866734			
Galactose metabolism	0	3	0.3000588185866734			
Keratan sulfate degradation	0	2	0.3000588185866734			
Glycerolipid metabolism	0	0	0.3000588185866734			
Carnitine shuttle	0	5	0.3000588185866734			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.3000588185866734			
Alkaloid biosynthesis II	0	1	0.3000588185866734			
Vitamin B1 (thiamin) metabolism	0	3	0.3000588185866734			
Glycosphingolipid biosynthesis - globoseries	0	2	0.3000588185866734			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.3000588185866734			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.3000588185866734			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.3000588185866734			
Bile acid biosynthesis	0	10	0.3000588185866734			
Parathio degradation	0	1	0.3000588185866734			
Propanoate metabolism	0	4	0.3000588185866734			
Blood Group Biosynthesis	0	0	0.3000588185866734			
Vitamin H (biotin) metabolism	0	1	0.3000588185866734			
Biopterin metabolism	0	2	0.3000588185866734			
Vitamin E metabolism	0	6	0.3000588185866734			
Caffeine metabolism	0	2	0.3000588185866734			
Lipoate metabolism	0	1	0.3000588185866734			
Heparan sulfate biosynthesis	0	0	0.3000588185866734			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.3000588185866734			
Vitamin A (retinol) metabolism	0	1	0.3000588185866734			
Fatty Acid Metabolism	0	1	0.3000588185866734			
Glycosaminoglycan degradation	0	0	0.3000588185866734			
Fructose and mannose metabolism	0	5	0.3000588185866734			
ROS Detoxification	0	0	0.3000588185866734			
Saturated fatty acids beta-oxidation	0	0	0.3000588185866734			
CoA Catabolism	0	1	0.3000588185866734			
Omega-3 fatty acid metabolism	0	1	0.3000588185866734			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.3000588185866734			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.3000588185866734			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	4	0.3000588185866734			
Geraniol degradation	0	0	0.3000588185866734			
D4&E4-neuroprostanes formation	0	3	0.3000588185866734			
Vitamin D	0	1	0.3000588185866734			
Dynorphin metabolism	0	0	0.3000588185866734			
Heparan sulfate degradation	0	1	0.3000588185866734			
Fatty acid oxidation, peroxisome	0	1	0.3000588185866734			
Polyunsaturated fatty acid biosynthesis	0	0	0.3000588185866734			
Keratan sulfate biosynthesis	0	0	0.3000588185866734			
3-Chloroacrylic acid degradation	0	0	0.3000588185866734			
Sphingolipid metabolism	0	1	0.3000588185866734			
O-Glycan biosynthesis	0	0	0.3000588185866734			
Proteoglycan biosynthesis	0	0	0.3000588185866734			
Vitamin K metabolism	0	0	0.3000588185866734			
Porphyrin metabolism	0	2	0.3000588185866734			
Phosphatidylinositol phosphate metabolism	0	3	0.3000588185866734			
Benzoate degradation via CoA ligation	0	0	0.3000588185866734			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.3000588185866734			
Vitamin B6 (pyridoxine) metabolism	0	3	0.3000588185866734			
Pentose and Glucuronate Interconversions	0	0	0.3000588185866734			
Atrazine degradation	0	0	0.3000588185866734			
N-Glycan Degradation	0	3	0.3000588185866734			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.3000588185866734			
Fatty acid activation	0	4	0.3000588185866734			
Carbon fixation	0	0	0.3000588185866734			
Nucleotide Sugar Metabolism	0	0	0.3000588185866734			
1- and 2-Methylnaphthalene degradation	0	0	0.3000588185866734			
Drug metabolism - other enzymes	0	2	0.3000588185866734			
Prostaglandin formation from dihomo gama-linoleic acid	0	2	0.3000588185866734			
Starch and Sucrose Metabolism	0	3	0.3000588185866734			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.3000588185866734			
Omega-6 fatty acid metabolism	0	1	0.3000588185866734			
Phytanic acid peroxisomal oxidation	0	1	0.3000588185866734			
Pentose phosphate pathway	0	2	0.3000588185866734			
Selenoamino acid metabolism	0	5	0.3000588185866734			
