pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
De novo fatty acid biosynthesis	1	6	0.21208301823376186	E403		
Arginine and Proline Metabolism	1	6	0.21208301823376186	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Ubiquinone Biosynthesis	1	6	0.21208301823376186	E426		
Selenoamino acid metabolism	1	6	0.21208301823376186	E42	C00065/C00740	L-Serine/D-Serine
Alanine and Aspartate Metabolism	1	7	0.23519032014116462	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Arachidonic acid metabolism	1	7	0.23519032014116462	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Lysine metabolism	1	7	0.23519032014116462	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Valine, leucine and isoleucine degradation	1	8	0.25249978993361905	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
TCA cycle	1	8	0.25249978993361905	E426		
Glycine, serine, alanine and threonine metabolism	2	18	0.2590538610200823	E42,E215	C00065/C00740,C00217/C00025/C05938	L-Serine/D-Serine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Prostaglandin formation from arachidonate	1	9	0.2651037727922023	E531		
Urea cycle/amino group metabolism	1	10	0.2761112511553651	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Butanoate metabolism	1	11	0.2849340391563734	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aspartate and asparagine metabolism	1	15	0.3024955886059995	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tryptophan metabolism	1	17	0.3055205444920595	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tyrosine metabolism	1	20	0.30862952693051005	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Vitamin D3 (cholecalciferol) metabolism	0	3	0.3106461641878834			
Hyaluronan Metabolism	0	0	0.3106461641878834			
N-Glycan biosynthesis	0	4	0.3106461641878834			
Glycolysis and Gluconeogenesis	0	5	0.3106461641878834			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.3106461641878834			
R Group Synthesis	0	0	0.3106461641878834			
C5-Branched dibasic acid metabolism	0	0	0.3106461641878834			
Pyruvate Metabolism	0	4	0.3106461641878834			
Chondroitin sulfate degradation	0	1	0.3106461641878834			
Di-unsaturated fatty acid beta-oxidation	0	0	0.3106461641878834			
Hexose phosphorylation	0	4	0.3106461641878834			
Vitamin B2 (riboflavin) metabolism	0	0	0.3106461641878834			
Squalene and cholesterol biosynthesis	0	2	0.3106461641878834			
Galactose metabolism	0	3	0.3106461641878834			
Keratan sulfate degradation	0	2	0.3106461641878834			
Glycerolipid metabolism	0	0	0.3106461641878834			
Carnitine shuttle	0	5	0.3106461641878834			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.3106461641878834			
Alkaloid biosynthesis II	0	1	0.3106461641878834			
Vitamin B1 (thiamin) metabolism	0	3	0.3106461641878834			
Glycosphingolipid biosynthesis - globoseries	0	2	0.3106461641878834			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.3106461641878834			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.3106461641878834			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.3106461641878834			
Bile acid biosynthesis	0	10	0.3106461641878834			
Parathio degradation	0	1	0.3106461641878834			
Propanoate metabolism	0	4	0.3106461641878834			
Blood Group Biosynthesis	0	0	0.3106461641878834			
Vitamin H (biotin) metabolism	0	1	0.3106461641878834			
Biopterin metabolism	0	2	0.3106461641878834			
Vitamin E metabolism	0	6	0.3106461641878834			
Caffeine metabolism	0	2	0.3106461641878834			
Lipoate metabolism	0	1	0.3106461641878834			
Heparan sulfate biosynthesis	0	0	0.3106461641878834			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.3106461641878834			
Vitamin A (retinol) metabolism	0	1	0.3106461641878834			
Fatty Acid Metabolism	0	1	0.3106461641878834			
Glycosaminoglycan degradation	0	0	0.3106461641878834			
Fructose and mannose metabolism	0	5	0.3106461641878834			
ROS Detoxification	0	0	0.3106461641878834			
Saturated fatty acids beta-oxidation	0	0	0.3106461641878834			
CoA Catabolism	0	1	0.3106461641878834			
Omega-3 fatty acid metabolism	0	1	0.3106461641878834			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.3106461641878834			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.3106461641878834			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	4	0.3106461641878834			
Geraniol degradation	0	0	0.3106461641878834			
D4&E4-neuroprostanes formation	0	3	0.3106461641878834			
Vitamin D	0	1	0.3106461641878834			
Dynorphin metabolism	0	0	0.3106461641878834			
Heparan sulfate degradation	0	1	0.3106461641878834			
Fatty acid oxidation, peroxisome	0	1	0.3106461641878834			
Polyunsaturated fatty acid biosynthesis	0	0	0.3106461641878834			
Keratan sulfate biosynthesis	0	0	0.3106461641878834			
3-Chloroacrylic acid degradation	0	0	0.3106461641878834			
Sphingolipid metabolism	0	1	0.3106461641878834			
O-Glycan biosynthesis	0	0	0.3106461641878834			
Proteoglycan biosynthesis	0	0	0.3106461641878834			
Vitamin K metabolism	0	0	0.3106461641878834			
Porphyrin metabolism	0	2	0.3106461641878834			
Phosphatidylinositol phosphate metabolism	0	3	0.3106461641878834			
Benzoate degradation via CoA ligation	0	0	0.3106461641878834			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.3106461641878834			
Vitamin B6 (pyridoxine) metabolism	0	3	0.3106461641878834			
Pentose and Glucuronate Interconversions	0	0	0.3106461641878834			
Atrazine degradation	0	0	0.3106461641878834			
N-Glycan Degradation	0	3	0.3106461641878834			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.3106461641878834			
Fatty acid activation	0	4	0.3106461641878834			
Carbon fixation	0	0	0.3106461641878834			
Nucleotide Sugar Metabolism	0	0	0.3106461641878834			
1- and 2-Methylnaphthalene degradation	0	0	0.3106461641878834			
Drug metabolism - other enzymes	0	2	0.3106461641878834			
Prostaglandin formation from dihomo gama-linoleic acid	0	2	0.3106461641878834			
Starch and Sucrose Metabolism	0	3	0.3106461641878834			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.3106461641878834			
Omega-6 fatty acid metabolism	0	1	0.3106461641878834			
Phytanic acid peroxisomal oxidation	0	1	0.3106461641878834			
Pentose phosphate pathway	0	2	0.3106461641878834			
