,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index,eid
148,3-Dehydrosphinganine$Sphingosine,D-sphingosine,503.473098754883,503.04,0.43309875488296257,0.0145763384366311,M300.28967T503.4731,16393,16393,454,1594,E1534
149,3-Dehydrosphinganine$Sphingosine,D-sphingosine,576.292816162109,503.04,73.25281616210901,0.0117754275727838,M300.289651T576.2928_2,16393,16393,454,1596,E1535
150,3-Dehydrosphinganine$Sphingosine,D-sphingosine,576.3017578125,503.04,73.26175781249998,0.027895955364256,M301.292998T576.3018_4,16393,16393,454,1614,E1535
151,3-Dehydrosphinganine$Sphingosine,D-sphingosine,503.033767700195,503.04,0.006232299804992181,0.0087299961487753,M301.293051T503.0338,16393,16393,454,1616,E1534
154,arachidonic acid,Arachidonic acid,599.190246582031,585.36,13.830246582031009,0.000445643127109,M305.245118T599.1902_2,15843,15843,508,1669,E573
155,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.190246582031,599.8199999999999,0.6297534179689137,0.000445643127109,M305.245118T599.1902_2,16196,16196,514,1670,E581
158,arachidonic acid,Arachidonic acid,545.32373046875,585.36,40.036269531250014,0.0254964896738092,M305.247366T545.3237,15843,15843,508,1673,E572
159,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,545.32373046875,599.8199999999999,54.496269531249936,0.0254964896738092,M305.247366T545.3237,16196,16196,514,1674,E580
161,arachidonic acid,Arachidonic acid,599.194122314453,585.36,13.834122314452998,0.0003880366033058,M306.248519T599.1941,15843,15843,508,1682,E573
162,Ubiquinone,Coenzyme Q1,575.746826171875,379.62,196.126826171875,0.0001508645215233,M318.182062T575.7468_1,46234,46234,365,1749,E1626
163,Ubiquinone,Coenzyme Q1,586.584808349609,379.62,206.96480834960903,0.0001026684143086,M319.19282T586.5848,46234,46234,365,1769,E1626
170,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,545.172485351562,599.8199999999999,54.64751464843789,0.0025842595258418,M351.252739T545.1725,16196,16196,514,2131,E580
179,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholest-4-en-3-one,547.050323486328,673.14,126.08967651367198,0.0019870126085015,M385.343896T547.0503,16175,16175,77,2532,E1010
180,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholecalciferol,547.050323486328,631.1999999999999,84.14967651367192,0.0019870126085015,M385.343896T547.0503,28940,28940,76,2536,E1010
188,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,679.0048828125,550.32,128.68488281249995,0.0135885728557752,M402.240028T679.0049_2,37550,37550,487,2610,E1816
196,Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$testosterone glucuronide,Epitestosterone glucuronide,718.398162841797,402.48,315.91816284179697,0.0081704855633303,M465.250499T718.3982_2,28835,28835,388,2920,E1256
198,"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4",Levothyroxine,435.127960205078,435.9,0.772039794921966,0.0387373063518041,M777.692956T435.128,18332,18332,413,3075,E1850
