"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"D-Mannose","D-Mannose","HMDB0000169","185698","28729","C00159",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"1,7-Dimethylxanthine","Paraxanthine","HMDB0001860","4687","25858","C13747","1457","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"2-methylbutyrylglycine","2-Methylbutyrylglycine","HMDB0000339","193872","86366",NA,"5328","CCC(C)C(=O)NCC(O)=O","1"
"isovalerylglycine","Isovalerylglycine","HMDB0000678","546304","70984",NA,"5647","CC(C)CC(=O)NCC(O)=O","1"
"cyanosulfurous acid anion","Cyanosulfurous acid anion","HMDB0012916",NA,NA,NA,NA,"O[S](O)C#N","1"
"Aniline","Aniline","HMDB0003012","6115","17296","C00292","489","NC1=CC=CC=C1","1"
"Sulfate","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"4-Maleylacetoacetate","Maleylacetoacetic acid","HMDB0002052","5280393","47904","C01036","6462","OC(=O)CC(=O)CC(=O)\C=C/C(O)=O","1"
"4-Fumarylacetoacetate","4-Fumarylacetoacetic acid","HMDB0001268","5280398","30907","C01061","6123","OC(=O)CC(=O)CC(=O)\C=C\C(O)=O","1"
"4-Methylpentanal","4-Methylpentanal","HMDB0001318","129","17998","C02373","6155","CC(C)CCC=O","1"
"(S)-2-Aminobutanoate","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
"N,N-Dimethylglycine","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"4-Aminobutanoate","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"3-Aminoisobutyric acid","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(O)=O","1"
"D-3-Amino-isobutanoate","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","16320","C01205","6599","C[C@H](CN)C(O)=O","1"
"L-3-Amino-isobutanoate","(S)-beta-Aminoisobutyric acid","HMDB0002166","439434","33094","C03284","6520","C[C@@H](CN)C(O)=O","1"
"L-Serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"D-Serine","D-Serine","HMDB0003406","71077","16523","C00740","6920","N[C@H](CO)C(O)=O","1"
"2-Hydroxyiminostilbene","2-Hydroxyiminostilbene","HMDB0060652","13103864","80599","C16604",NA,"OC1=CC=C2NC3=CC=CC=C3C=CC2=C1","1"
"(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","HMDB0012111","853019","50014","C16015",NA,"O[C@@H]([C@H](O)C1=CC=CC=C1)C1=CC=CC=C1","1"
"Cytosine","Cytosine","HMDB0000630","597","16040","C00380","283","NC1=CC=NC(=O)N1","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"trans-1,2-Dihydrobenzene-1,2-diol","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","10702","C04221","6046","O[C@@H]1C=CC=C[C@H]1O","1"
"1-Pyrroline-2-carboxylate","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","36761","C03564",NA,"OC(=O)C1=NCCC1","1"
"Deoxycytidine","Deoxycytidine","HMDB0000014","13711","15698","C00881","3367","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"acetamidopropanal","Acetamidopropanal","HMDB0012880","5460495","30322","C18170",NA,"CC(=O)NCCC=O","1"
"D-Proline","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"L-Proline","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"Chloroacetic acid","Chloroacetic acid","HMDB0031331","300","27869","C06755",NA,"OC(=O)CCl","1"
"Glycine betaine","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"5-Aminopentanoate","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(O)=O","1"
"L-Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"Methylmalonate","Methylmalonic acid","HMDB0000202","487","30860","C02170","3712","CC(C(O)=O)C(O)=O","1"
"Succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"L-Allo-threonine","L-Allothreonine","HMDB0004041","99289","28718","C05519","7007","C[C@H](O)[C@H](N)C(O)=O","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"Mercaptopyruvate","3-Mercaptopyruvic acid","HMDB0001368","98","16208","C00957","6195","OC(=O)C(=O)CS","1"
"Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"Benzoate","benzoate","HMDB0304270","242","16150",NA,NA,"[O-]C(=O)C1=CC=CC=C1","1"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","17597","C00633",NA,"OC1=CC=C(C=O)C=C1","1"
"Nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"Succinate semialdehyde","Succinic acid semialdehyde","HMDB0001259","1112","16265","C00232","6114","OC(=O)CCC=O","1"
"(S)-Methylmalonate semialdehyde","(S)-Methylmalonic acid semialdehyde","HMDB0002217","5462303","27821","C06002","6553","C[C@@H](C=O)C(O)=O","1"
"2-Methyl-3-oxopropanoate","2-Methyl-3-oxopropanoic acid","HMDB0001172","296","16256","C00349","6053","CC(C=O)C(O)=O","1"
"2-Oxobutanoate","2-Ketobutyric acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(O)=O","1"
"Acetoacetate","acetoacetate","HMDB0304256","6971017","13705",NA,NA,"CC(=O)CC([O-])=O","1"
"3-Methylimidazole acetaldehyde","NA","NA","NA","NA","NA","NA","NA","0"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"2-Hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"(R)-3-Hydroxybutanoate","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"(S)-3-Hydroxybutanoate","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","17290","C03197",NA,"C[C@H](O)CC(O)=O","1"
"(S)-3-Hydroxyisobutyrate","(S)-3-Hydroxyisobutyric acid","HMDB0000023","440873","37373","C06001","483","C[C@@H](CO)C(O)=O","1"
"4-Hydroxybutanoic acid","gamma-Butyrolactone","HMDB0000549","7302","42639","C01770","5533","O=C1CCCO1","1"
"Thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"Imidazole-4-acetate","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","OC(=O)CC1=CN=CN1","1"
"5,6-Dihydrothymine","5,6-dihydrothymine","HMDB0304210",NA,"27468","C00906",NA,"CC1CNC(=O)NC1=O","1"
"delta1-Piperideine-2-carboxylate","1-Piperideine-2-carboxylic acid","HMDB0001084","1194","30912","C04092","5992","OC(=O)C1=NCCCC1","1"
"2,3,4,5-Tetrahydropyridine-2-carboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"5-FU","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"L-1-Pyrroline-3-hydroxy-5-carboxylate","Pyrroline hydroxycarboxylic acid","HMDB0001369","1059","27391","C04281","6196","OC1CC(N=C1)C(O)=O","1"
"1-Pyrroline-4-hydroxy-2-carboxylate","1-Pyrroline-4-hydroxy-2-carboxylate","HMDB0002234","440282","16352","C04282","6564","OC1CN=C(C1)C(O)=O","1"
"N-acetyl-L-alanine","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"Tetrahydrobiopterin-4a-carbinolamine","NA","NA","NA","NA","NA","NA","NA","0"
"N4-Acetylaminobutanal","N4-Acetylaminobutanal","HMDB0004226","440850","7386","C05936",NA,"CC(=O)NCCCC=O","1"
"L-Pipecolate","L-Pipecolic acid","HMDB0000716","439227","30913","C00408","5684","OC(=O)[C@@H]1CCCCN1","1"
"4-Methyl-2-oxopentanoate","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"Adipate semialdehyde","Adipate semialdehyde","HMDB0012882","440918","2490","C06102",NA,"OC(=O)CCCCC=O","1"
"3-Methyl-2-oxopentanoate","NA","NA","NA","NA","NA","NA","NA","0"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"L-Leucine","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"L-Isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"2,3-diketo-5-methylthio-1-phosphopentane","5-(Methylthio)-2,3-dioxopentyl phosphate","HMDB0059620","561","50604","C15650",NA,"CSCCC(=O)C(=O)COP(O)(O)=O","1"
"2-Acetolactate","2-Acetolactate","HMDB0006833","22","16444","C00900",NA,"CC(=O)C(C)(O)C(O)=O","1"
"(S)-2-Acetolactate","(S)-2-Acetolactate","HMDB0006855","440878","18409","C06010",NA,"CC(=O)[C@](C)(O)C(O)=O","1"
"N-Carbamoyl-beta-alanine","Ureidopropionic acid","HMDB0000026","111","18261","C02642","5097","NC(=O)NCCC(O)=O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"D-Ornithine","D-Ornithine","HMDB0003374","71082","16176","C00515","6910","NCCC[C@@H](N)C(O)=O","1"
"Histamine","Histamine","HMDB0000870","774","18295","C00388","68","NCCC1=CNC=N1","1"
"L-Malate","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"anhydroretinol","anhydroretinol","HMDB0062447","5287678",NA,NA,NA,"[H]/C(=C(/[H])\C(\C)=C(/[H])\C(\[H])=C1\C(C)=CCCC1(C)C)/C(/[H])=C(\C)C=C","1"
"Thiosulfate","Thiosulfate","HMDB0000257","1085","5587","C00320","5260","OS(S)(=O)=O","1"
"Adenine","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"2-Phenylacetamide","2-Phenylacetamide","HMDB0010715","7680","16562","C02505",NA,"NC(=O)CC1=CC=CC=C1","1"
"Beta cyanoalanine","NA","NA","NA","NA","NA","NA","NA","0"
"5,6-dihydrouracil","Dihydrouracil","HMDB0000076","649","15901","C00429","285","O=C1CCNC(=O)N1","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"Phenylacetic acid","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"4-Hydroxyphenylacetaldehyde","4-Hydroxyphenylacetaldehyde","HMDB0003767","440113","15621","C03765",NA,"OC1=CC=C(CC=O)C=C1","1"
"(-)-Limonene","(-)-Limonene","HMDB0004321","439250","15383","C00521","6911","CC(=C)[C@H]1CCC(C)=CC1","1"
"(+)-Limonene","(+)-Limonene","HMDB0003375","440917","15382","C06099","6911","CC(=C)[C@@H]1CCC(C)=CC1","1"
"Anthranilate","2-Aminobenzoic acid","HMDB0001123","227","30754","C00108","6018","NC1=CC=CC=C1C(O)=O","1"
"Gentisate aldehyde","Gentisate aldehyde","HMDB0004062","70949","28508","C05585",NA,"OC1=CC(C=O)=C(O)C=C1","1"
"4-Hydroxybenzoate","4-hydroxybenzoate","HMDB0304180","105001","17879",NA,NA,"OC1=CC=C(C=C1)C([O-])=O","1"
"Acetyl phosphate","Acetylphosphate","HMDB0001494","186","15350","C00227","6278","CC(=O)OP(O)(O)=O","1"
"Guanidinoacetate","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"Ethanolamine phosphate","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"2-methylglutaconic acid","(E)-2-Methylglutaconic acid","HMDB0002266","6368126",NA,NA,"6584","C\C(=C/CC(O)=O)C(O)=O","1"
"Purine","Purine","HMDB0001366","1044","17258","C15587","6193","N1C=NC2=C1C=NC=N2","1"
"Dehydrospermidine","Dehydrospermidine","HMDB0012925",NA,"48007","C15853",NA,"NCCC\C=N\CCCN","1"
"3-Mercaptolactate","3-Mercaptolactic acid","HMDB0002127","160645",NA,"C05823","6499","OC(CS)C(O)=O","1"
"Erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"beta-Naphthol","2-Naphthol","HMDB0012322","8663","10432","C11713",NA,"OC1=CC2=CC=CC=C2C=C1","1"
"(1S,2R)-Naphthalene 1,2-oxide","(1S,2R)-Naphthalene 1,2-oxide","HMDB0060301","11094749","34001","C14787",NA,"[H][C@]12O[C@@]1([H])C1=CC=CC=C1C=C2","1"
"3-Dehydroxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","725","16244","C01181","6043","C[N+](C)(C)CCCC([O-])=O","1"
"dehydrospermidine","Dehydrospermidine","HMDB0012925",NA,"48007","C15853",NA,"NCCC\C=N\CCCN","1"
"Spermidine","Spermidine","HMDB0001257","1102","16610","C00315","254","NCCCCNCCCN","1"
"2-Oxoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"(S)-2-Aceto-2-hydroxybutanoate","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","27681","C06006",NA,"CC[C@](O)(C(C)=O)C(O)=O","1"
"L-Glutamine","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"3-Ureidoisobutyrate","Ureidoisobutyric acid","HMDB0002031","88558720","1670","C05100",NA,"C[C@@H](CNC(N)=O)C(O)=O","1"
"D-Glutamine","D-Glutamine","HMDB0003423","145815","17061","C00819","6926","N[C@H](CCC(N)=O)C(O)=O","1"
"D-Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"L-Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"L-4-Hydroxyglutamate semialdehyde","L-4-Hydroxyglutamate semialdehyde","HMDB0006556","440851","27809","C05938",NA,"N[C@@H](C[C@@H](O)C=O)C(O)=O","1"
"2-keto-4-methylthiobutyrate","2-Oxo-4-methylthiobutanoic acid","HMDB0001553","473","33574","C01180","6319","CSCCC(=O)C(O)=O","1"
"5-Amino-4-imidazolecarboxyamide","5-Amino-4-imidazolecarboxyamide","METPA0462",NA,"NA","C04051",NA,NA,"1"
"(S)-2-Hydroxyglutarate","L-2-Hydroxyglutaric acid","HMDB0000694","439939","32797","C03196","5662","O[C@@H](CCC(O)=O)C(O)=O","1"
"(R)-2-Hydroxyglutarate","D-2-Hydroxyglutaric acid","HMDB0000606","439391","32796","C01087","5581","O[C@H](CCC(O)=O)C(O)=O","1"
"L-Methionine","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"dopaminochrome","NA","NA","NA","NA","NA","NA","NA","0"
"5,6-Dihydroxyindole","5,6-Dihydroxyindole","HMDB0004058","114683","27404","C05578","7009","OC1=C(O)C=C2C=CNC2=C1","1"
"N6-(L-1,3-Dicarboxypropyl)-L-lysine","Saccharopine","HMDB0000279","160556","16927","C00449","383","N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O","1"
"(R)-Mevalonate","Mevalonic acid","HMDB0000227","439230","17710","C00418","127","C[C@@](O)(CCO)CC(O)=O","1"
"alpha-Fluoro-beta-ureidopropionic acid","alpha-Fluoro-beta-ureidopropionic acid","HMDB0060435","151244","80625","C16631",NA,"OC(=N)NCC(F)C(O)=O","1"
"Naphthalene","Naphthalene","HMDB0029751","931","16482","C00829",NA,"C1=CC2=CC=CC=C2C=C1","1"
"L-Arabinose","L-Arabinose","HMDB0000646","439764","40886","C00259","5474","O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O","1"
"D-Ribulose","D-Ribulose","HMDB0000621","12358756","17173","C00309","5594","OC[C@@]1(O)OC[C@@H](O)[C@H]1O","1"
"L-Xylulose","L-Xylulose","HMDB0000751","89810215","17399","C00312","5719","OC[C@]1(O)OC[C@H](O)[C@H]1O","1"
"D-Xylulose","D-Xylulose","HMDB0001644","12358757","17140","C00310","6333","OC[C@@]1(O)OC[C@@H](O)[C@@H]1O","1"
"D-Ribose","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"D-Xylose","D-Xylose","HMDB0000098","135191","53455","C00181","314","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"4-Coumaryl alcohol","4-Coumaryl alcohol","HMDB0003654","5280535","64555","C02646","6971","OC\C=C\C1=CC=C(O)C=C1","1"
"Retinoate","all-trans-Retinoic acid","HMDB0001852","444795","15367","C00777","2277","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","1"
"9-cis-Retinoic acid","9-cis-Retinoic acid","HMDB0002369","449171","50648","C15493",NA,"C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O","1"
"(6Z,9Z,12Z)-Octadecatrienoic acid","gamma-Linolenic acid","HMDB0003073","5280933","28661","C06426","386","CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O","1"
"(9Z,12Z,15Z)-Octadecatrienoic acid","alpha-Linolenic acid","HMDB0001388","5280934","27432","C06427","6208","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"Perillyl aldehyde","Perillyl aldehyde","HMDB0003647","16441","15421","C02576",NA,"[H]C(=O)C1=CCC(CC1)C(C)=C","1"
"Xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"Xylitol","Xylitol","HMDB0242149","6912","1305691","C00379",NA,"OC[C@H](O)C(O)[C@H](O)CO","1"
"L-Arabinitol","L-Arabitol","HMDB0001851","439255","18403","C00532","141","OC[C@H](O)C(O)[C@@H](O)CO","1"
"leukoaminochrome","Leukoaminochrome","HMDB0012992","147311","74683","C17756",NA,"OC1=C(O)C=C2NCCC2=C1","1"
"3-Hydroxyanthranilate","3-Hydroxyanthranilic acid","HMDB0001476","86","15793","C00632","3275","NC1=C(O)C=CC=C1C(O)=O","1"
"3,4-Dihydroxyphenylacetaldehyde","3,4-Dihydroxyphenylacetaldehyde","HMDB0003791","119219","27978","C04043",NA,"OC1=C(O)C=C(CC=O)C=C1","1"
"4-Hydroxyphenylacetate","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"2-Hydroxyphenylacetate","ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","28478","C05852","5639","OC(=O)CC1=C(O)C=CC=C1","1"
"arachidonic acid","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"Perillyl alcohol","Perillyl alcohol","HMDB0003634","10819","15420","C02452","6969","CC(=C)C1CCC(CO)=CC1","1"
"(+)-trans-Carveol","(+)-trans-Carveol","HMDB0059608","443178","15388","C11409","6934","CC(=C)[C@H]1CC=C(C)[C@H](O)C1","1"
"(-)-trans-Carveol","(-)-trans-Carveol","HMDB0003450","94221","15389","C00964","6934","CC(=C)[C@@H]1CC=C(C)[C@@H](O)C1","1"
"(9Z)-Octadecenoic acid","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"Iminoaspartate","Iminoaspartic acid","HMDB0001131","796","50616","C05840","6025","OC(=O)CC(=N)C(O)=O","1"
"3-Sulfino-L-alanine","3-Sulfinoalanine","HMDB0000996","1549098","16345","C00606","5927","N[C@@H](CS(O)=O)C(O)=O","1"
"Xanthosine","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"L-Glutamate 5-semialdehyde","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","17232","C01165","6488","N[C@@H](CCC=O)C(O)=O","1"
"trans-4-Hydroxy-L-proline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"5-Aminolevulinate","5-Aminolevulinic acid","HMDB0001149","137","17549","C00430","6037","NCC(=O)CCC(O)=O","1"
"cis-4-Hydroxy-D-proline","cis-4-Hydroxy-D-proline","HMDB0060460","440014","16231","C03440",NA,"O[C@H]1CN[C@H](C1)C(O)=O","1"
"5-Amino-2-oxopentanoic acid","5-Amino-2-oxopentanoic acid","HMDB0006272","439402","49268","C01110",NA,"NCCCC(=O)C(O)=O","1"
"2,5-Dihydroxybenzoate","Gentisic acid","HMDB0000152","3469","17189","C00628","618","OC(=O)C1=C(O)C=CC(O)=C1","1"
"L-Histidine","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"L-Aspartate","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"D-Aspartate","D-Aspartic acid","HMDB0006483","83887","17364","C00402","15","N[C@H](CC(O)=O)C(O)=O","1"
"Deoxyribose","Deoxyribose","HMDB0003224","22833604","28816","C01801","3258","OC[C@@H]1O[C@H](O)C[C@H]1O","1"
"Dihydropteridine","Dihydropteridine","HMDB0001441","167","30156","C05649","6249","C1CN=C2N=CN=CC2=N1","1"
"4-Imidazolone-5-propanoate","4-Imidazolone-5-propionic acid","HMDB0001014","128","27384","C03680","319","OC(=O)CCC1N=CNC1=O","1"
"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid","13-L-Hydroperoxylinoleic acid","HMDB0003871","5280720","15655","C04717",NA,"CCCCC[C@H](OO)\C=C\C=C/CCCCCCCC(O)=O","1"
"9(S)-HPODE","9(S)-HPODE","HMDB0006940","6439847",NA,"C14827",NA,"CCCCC\C=C/C=C/C(CCCCCCCC(O)=O)OO","1"
"Geranyl diphosphate","Geranyl-PP","HMDB0001285","445995","17211","C00341","6134","CC(C)=CCC\C(C)=C\COP(O)(=O)OP(O)(O)=O","1"
"Allantoin","Allantoin","HMDB0000462","204","15676","C02350","89","NC(=O)NC1NC(=O)NC1=O","1"
"Tetrahydropteridine","Tetrahydropteridine","HMDB0001216","156","28889","C05650","6086","C1CNC2=C(N1)C=NC=N2","1"
"Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","O=CCC1=CNC2=C1C=CC=C2","1"
"5-Acetamidopentanoate","5-Acetamidovalerate","HMDB0012175","439903","2024","C03087",NA,"CC(=O)NCCCCC(O)=O","1"
"2-Oxoadipate","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","OC(=O)CCCC(=O)C(O)=O","1"
"L-2-Aminoadipate","Aminoadipic acid","HMDB0000510","92136","37023","C00956","5496","N[C@@H](CCCC(O)=O)C(O)=O","1"
