pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Carbon fixation	1	1	0.04932358625325603	E613	C00049/C00402	L-Aspartate/D-Aspartate
Arginine and Proline Metabolism	5	25	0.05075203764389547	E57,E374,E613,E318,E1530	,,C00049/C00402,,	$$L-Aspartate/D-Aspartate$$
Keratan sulfate degradation	2	7	0.07301907402739266	E1174,E1175	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Pentose and Glucuronate Interconversions	1	2	0.09259726073439206	E560		
Galactose metabolism	2	8	0.09276531383917318	E1174,E1175	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Aminosugars metabolism	2	8	0.09276531383917318	E1174,E1175	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
N-Glycan Degradation	2	9	0.11503235022267036	E1174,E1175	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Sialic acid metabolism	2	10	0.1443576170069742	E1174,E1175	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Alkaloid biosynthesis II	1	3	0.1457020418452231	E269		
Drug metabolism - cytochrome P450	4	28	0.17124611377195192	E961,E960,E512,E1799	C05635/C16596,C05635/C16596,C16612,	5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$Citalopram aldehyde$
Electron transport chain	1	4	0.18494244181161246	E1626		
Lipoate metabolism	1	4	0.18494244181161246	E748		
Fatty acid oxidation	1	4	0.18494244181161246	E1626		
Leukotriene metabolism	5	39	0.19687421225107135	E1687,E885,E759,E1783,E573	,,,,C00219	$$$$arachidonic acid
Ubiquinone Biosynthesis	2	13	0.20426854886144022	E1626,E679	,	$
Urea cycle/amino group metabolism	4	31	0.20670531888076632	E313,E57,E1530,E613	,,,C00049/C00402	$$$L-Aspartate/D-Aspartate
Arachidonic acid metabolism	4	31	0.20670531888076632	E545,E1687,E1922,E573	C06426/C06427,,,C00219	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$$$arachidonic acid
Methionine and cysteine metabolism	4	32	0.22098983278716075	E710,E71,E288,E1530	,,,	$$$
Vitamin D3 (cholecalciferol) metabolism	2	14	0.22451894798756408	E1874,E1142	,	$
Purine metabolism	4	33	0.23166120494076128	E780,E57,E374,E613	,,,C00049/C00402	$$$L-Aspartate/D-Aspartate
Nitrogen metabolism	1	6	0.24964288715234015	E613	C00049/C00402	L-Aspartate/D-Aspartate
Putative anti-Inflammatory metabolites formation from EPA	2	16	0.26031425930594065	E1687,E1749	,	$
Pyrimidine metabolism	3	26	0.2669523569447946	E1626,E1892,E613	,,C00049/C00402	$$L-Aspartate/D-Aspartate
3-oxo-10R-octadecatrienoate beta-oxidation	1	7	0.27770775565078565	E1361		
Tyrosine metabolism	8	77	0.2908158978237123	E506,E991,E876,E375,E387,E71,E143,E679	,,C05583,,C03765,,,	$$3-Methoxy-4-hydroxyphenylglycolaldehyde$$4-Hydroxyphenylacetaldehyde$$$
Aspartate and asparagine metabolism	4	40	0.31762036803629945	E318,E57,E930,E613	,,,C00049/C00402	$$$L-Aspartate/D-Aspartate
N-Glycan biosynthesis	1	9	0.3271993950088228	E1333		
Saturated fatty acids beta-oxidation	1	9	0.3271993950088228	E1367	C00249	Hexadecanoate (n-C16:0)
Hexose phosphorylation	1	10	0.3469456348206033	E679		
Limonene and pinene degradation	1	10	0.3469456348206033	E379		
Glycosphingolipid metabolism	3	33	0.3546760776405344	E1367,E1388,E1387	C00249,,	Hexadecanoate (n-C16:0)$$
Selenoamino acid metabolism	1	11	0.3634148390891522	E1938		
Bile acid biosynthesis	4	46	0.37274178640450384	E1874,E1142,E288,E1032	,,,	$$$
Vitamin A (retinol) metabolism	2	24	0.37643895470968824	E1550,E541	CE5932/C02075/C06428/CE5013,	13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/$
Lysine metabolism	2	24	0.37643895470968824	E940,E1081	,	$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	12	0.3769431140240316	E613	C00049/C00402	L-Aspartate/D-Aspartate
Phosphatidylinositol phosphate metabolism	1	12	0.3769431140240316	E1367	C00249	Hexadecanoate (n-C16:0)
Glycerophospholipid metabolism	5	58	0.37879169817662384	E545,E1453,E425,E1454,E573	C06426/C06427,C01595,,C01595,C00219	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$$linoleic acid (all cis C18:2) n-6$arachidonic acid
Alanine and Aspartate Metabolism	1	13	0.38627006133938324	E613	C00049/C00402	L-Aspartate/D-Aspartate
Glutathione Metabolism	1	13	0.38627006133938324	E318		
Squalene and cholesterol biosynthesis	1	14	0.3952609024451727	E1333		
Porphyrin metabolism	1	14	0.3952609024451727	E1505		
Xenobiotics metabolism	2	27	0.39610116796907824	E1367,E477	C00249,	Hexadecanoate (n-C16:0)$
Fructose and mannose metabolism	1	15	0.4016469204268549	E725		
TCA cycle	1	15	0.4016469204268549	E1626		
Prostaglandin formation from arachidonate	2	31	0.4178640450382321	E1687,E573	,C00219	$arachidonic acid
Vitamin E metabolism	2	32	0.4242500630199143	E1926,E1424	,	$
Beta-Alanine metabolism	1	23	0.44710528527014537	E613	C00049/C00402	L-Aspartate/D-Aspartate
C21-steroid hormone biosynthesis and metabolism	4	73	0.45920510881438537	E796,E1639,E1505,E487	,,,	$$$
Butanoate metabolism	1	35	0.46281825056717923	E129		
Androgen and estrogen biosynthesis and metabolism	1	38	0.46315435677674144	E487		
Glycolysis and Gluconeogenesis	0	19	0.46365851609108477			
Glycosphingolipid biosynthesis - ganglioseries	0	1	0.46365851609108477			
R Group Synthesis	0	0	0.46365851609108477			
C5-Branched dibasic acid metabolism	0	0	0.46365851609108477			
Pyruvate Metabolism	0	23	0.46365851609108477			
Chondroitin sulfate degradation	0	2	0.46365851609108477			
Vitamin B2 (riboflavin) metabolism	0	0	0.46365851609108477			
Glycerolipid metabolism	0	0	0.46365851609108477			
Carnitine shuttle	0	34	0.46365851609108477			
Vitamin B1 (thiamin) metabolism	0	3	0.46365851609108477			
Glycosphingolipid biosynthesis - globoseries	0	3	0.46365851609108477			
Histidine metabolism	0	19	0.46365851609108477			
Vitamin B5 - CoA biosynthesis from pantothenate	0	7	0.46365851609108477			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	2	0.46365851609108477			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.46365851609108477			
Parathio degradation	0	4	0.46365851609108477			
Propanoate metabolism	0	26	0.46365851609108477			
Blood Group Biosynthesis	0	0	0.46365851609108477			
Vitamin H (biotin) metabolism	0	4	0.46365851609108477			
Biopterin metabolism	0	5	0.46365851609108477			
Glycine, serine, alanine and threonine metabolism	1	64	0.46365851609108477	E71		
Caffeine metabolism	0	4	0.46365851609108477			
Heparan sulfate biosynthesis	0	0	0.46365851609108477			
Vitamin B9 (folate) metabolism	0	10	0.46365851609108477			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.46365851609108477			
Valine, leucine and isoleucine degradation	0	42	0.46365851609108477			
Glycosaminoglycan degradation	0	0	0.46365851609108477			
ROS Detoxification	0	0	0.46365851609108477			
CoA Catabolism	0	7	0.46365851609108477			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.46365851609108477			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.46365851609108477			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	22	0.46365851609108477			
Geraniol degradation	0	0	0.46365851609108477			
D4&E4-neuroprostanes formation	0	5	0.46365851609108477			
Vitamin D	0	2	0.46365851609108477			
Dynorphin metabolism	0	0	0.46365851609108477			
Fatty acid oxidation, peroxisome	0	4	0.46365851609108477			
Polyunsaturated fatty acid biosynthesis	0	3	0.46365851609108477			
Keratan sulfate biosynthesis	0	0	0.46365851609108477			
3-Chloroacrylic acid degradation	0	0	0.46365851609108477			
Sphingolipid metabolism	0	2	0.46365851609108477			
O-Glycan biosynthesis	0	0	0.46365851609108477			
Proteoglycan biosynthesis	0	0	0.46365851609108477			
Vitamin K metabolism	0	0	0.46365851609108477			
Glutamate metabolism	0	12	0.46365851609108477			
Benzoate degradation via CoA ligation	0	0	0.46365851609108477			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.46365851609108477			
Vitamin B6 (pyridoxine) metabolism	0	6	0.46365851609108477			
Atrazine degradation	0	0	0.46365851609108477			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.46365851609108477			
Nucleotide Sugar Metabolism	0	0	0.46365851609108477			
1- and 2-Methylnaphthalene degradation	0	0	0.46365851609108477			
Drug metabolism - other enzymes	0	10	0.46365851609108477			
Prostaglandin formation from dihomo gama-linoleic acid	0	6	0.46365851609108477			
Starch and Sucrose Metabolism	0	4	0.46365851609108477			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.46365851609108477			
Phytanic acid peroxisomal oxidation	0	5	0.46365851609108477			
Pentose phosphate pathway	0	6	0.46365851609108477			
