"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"3-Methyl-2-oxopentanoate","NA","NA","NA","NA","NA","NA","NA","0"
"L-Malate","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"Thiosulfate","Thiosulfate","HMDB0000257","1085","5587","C00320","5260","OS(S)(=O)=O","1"
"2-Phenylacetamide","2-Phenylacetamide","HMDB0010715","7680","16562","C02505",NA,"NC(=O)CC1=CC=CC=C1","1"
"Phenylacetic acid","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"4-Hydroxyphenylacetaldehyde","4-Hydroxyphenylacetaldehyde","HMDB0003767","440113","15621","C03765",NA,"OC1=CC=C(CC=O)C=C1","1"
"(-)-Limonene","(-)-Limonene","HMDB0004321","439250","15383","C00521","6911","CC(=C)[C@H]1CCC(C)=CC1","1"
"(+)-Limonene","(+)-Limonene","HMDB0003375","440917","15382","C06099","6911","CC(=C)[C@@H]1CCC(C)=CC1","1"
"Gentisate aldehyde","Gentisate aldehyde","HMDB0004062","70949","28508","C05585",NA,"OC1=CC(C=O)=C(O)C=C1","1"
"4-Hydroxybenzoate","4-hydroxybenzoate","HMDB0304180","105001","17879",NA,NA,"OC1=CC=C(C=C1)C([O-])=O","1"
"Ethanolamine phosphate","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"3-Dehydroxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","725","16244","C01181","6043","C[N+](C)(C)CCCC([O-])=O","1"
"(S)-2-Aceto-2-hydroxybutanoate","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","27681","C06006",NA,"CC[C@](O)(C(C)=O)C(O)=O","1"
"L-Glutamine","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"3-Ureidoisobutyrate","Ureidoisobutyric acid","HMDB0002031","88558720","1670","C05100",NA,"C[C@@H](CNC(N)=O)C(O)=O","1"
"D-Glutamine","D-Glutamine","HMDB0003423","145815","17061","C00819","6926","N[C@H](CCC(N)=O)C(O)=O","1"
"4-Coumaryl alcohol","4-Coumaryl alcohol","HMDB0003654","5280535","64555","C02646","6971","OC\C=C\C1=CC=C(O)C=C1","1"
"5-FU","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"3,4-Dihydroxyphenylacetaldehyde","3,4-Dihydroxyphenylacetaldehyde","HMDB0003791","119219","27978","C04043",NA,"OC1=C(O)C=C(CC=O)C=C1","1"
"4-Hydroxyphenylacetate","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"2-Hydroxyphenylacetate","ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","28478","C05852","5639","OC(=O)CC1=C(O)C=CC=C1","1"
"Xanthosine","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"N-Carbamoyl-beta-alanine","Ureidopropionic acid","HMDB0000026","111","18261","C02642","5097","NC(=O)NCCC(O)=O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"L-Histidine","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Tetrahydropteridine","Tetrahydropteridine","HMDB0001216","156","28889","C05650","6086","C1CNC2=C(N1)C=NC=N2","1"
"Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","O=CCC1=CNC2=C1C=CC=C2","1"
"5-Acetamidopentanoate","5-Acetamidovalerate","HMDB0012175","439903","2024","C03087",NA,"CC(=O)NCCCCC(O)=O","1"
"2-Oxoadipate","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","OC(=O)CCCC(=O)C(O)=O","1"
"arachidonic acid","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"cis-2-Hydroxycinnamate","Coumarinic acid","HMDB0041592","5280841","28873","C05838",NA,"OC(=O)\C=C/C1=C(O)C=CC=C1","1"
"4-Coumarate","4-Hydroxycinnamic acid","HMDB0002035","637542","32374","C00811","6450","OC(=O)\C=C\C1=CC=C(O)C=C1","1"
"enol-Phenylpyruvate","Enol-phenylpyruvate","HMDB0012225","641637","16815","C02763",NA,"OC(=O)C(\O)=C\C1=CC=CC=C1","1"
"Phenylpyruvate","Phenylpyruvic acid","HMDB0000205","997","30851","C00166","328","OC(=O)C(=O)CC1=CC=CC=C1","1"
"6-Deoxy-L-galactose","L-Fucose","HMDB0000174","17106","42548","C01019","5812","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Perillic acid","Perillic acid","HMDB0004586","1256","36999","C11924",NA,"CC(=C)C1CCC(=CC1)C(O)=O","1"
"Dehydrospermidine","Dehydrospermidine","HMDB0012925",NA,"48007","C15853",NA,"NCCC\C=N\CCCN","1"
"3-Sulfopyruvate","3-Sulfopyruvic acid","HMDB0004045","440717","16894","C05528",NA,"OC(=O)C(=O)CS(O)(=O)=O","1"
"3-Methoxy-4-hydroxyphenylacetaldehyde","Homovanillin","HMDB0005175","151276","28111","C05581",NA,"COC1=C(O)C=CC(CC=O)=C1","1"
"4-Guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","15728","C01035","6938","NC(=N)NCCCC(O)=O","1"
"Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=C(O)C(CN)=C(CO)C=N1","1"
"2-Oxoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"Urate","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"L-Cysteate","Cysteic acid","HMDB0002757","25701","21260","C00506","332","NC(CS(O)(=O)=O)C(O)=O","1"
"D-Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"L-Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"L-4-Hydroxyglutamate semialdehyde","L-4-Hydroxyglutamate semialdehyde","HMDB0006556","440851","27809","C05938",NA,"N[C@@H](C[C@@H](O)C=O)C(O)=O","1"
"Oxidized dithiothreitol","Oxidized dithiothreitol","HMDB0059664","439407","42147","C01119",NA,"O[C@H]1CSSC[C@@H]1O","1"
"Aryl sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"L-Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"2-Aminomuconate","2-Aminomuconic acid","HMDB0001241","5280499","15745","C02220","321","N\C(=C\C=C/C(O)=O)C(O)=O","1"
"D-Glucose","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"beta-D-Glucose","beta-D-Glucose",NA,NA,NA,"C00221",NA,NA,"1"
"beta-D-Fructose","beta-D-Fructose",NA,NA,NA,"C02336",NA,NA,"1"
"alpha-D-Glucose","alpha-D-Glucose","HMDB0003345","79025","17925","C00267","6897","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"beta-D-Galactose","beta-D-Galactose","HMDB0003449","439353","27667","C00962","6933","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"D-Tagatose","D-Tagatose","HMDB0003418","14408225","49092","C00795","135","OC[C@@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"1,7-Dimethylxanthine","Paraxanthine","HMDB0001860","4687","25858","C13747","1457","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"alpha-D-Galactose","alpha-D-Galactose",NA,NA,NA,"C00984",NA,NA,"1"
"D-Mannose","D-Mannose","HMDB0000169","185698","28729","C00159",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"2-methylbutyrylglycine","2-Methylbutyrylglycine","HMDB0000339","193872","86366",NA,"5328","CCC(C)C(=O)NCC(O)=O","1"
"isovalerylglycine","Isovalerylglycine","HMDB0000678","546304","70984",NA,"5647","CC(C)CC(=O)NCC(O)=O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"L-Iditol","L-Iditol","HMDB0011632","5460044","18202","C01507",NA,"OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO","1"
"D-Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Galactitol","Galactitol","HMDB0000107","11850","16813","C01697","5148","OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO","1"
"Selenophosphate","Phosphoroselenoic acid","HMDB0003840","1092","29269","C05172",NA,"OP(O)(O)=[Se]","1"
"3-Phosphohydroxypyruvate","Phosphohydroxypyruvic acid","HMDB0001024","105","30933","C03232","484","OC(=O)C(=O)COP(O)(O)=O","1"
"6-Methylmercaptopurine","6-Methylmercaptopurine","HMDB0060412","5778","28279","C16614",NA,"CSC1=NC=NC2=C1N=CN2","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"Oxalosuccinate","oxalosuccinate","HMDB0304444","972","7815","C05379",NA,"OC(=O)CC(C(O)=O)C(=O)C(O)=O","1"
"5,6-indolequinone-2-carboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"beta-carboline","beta-Carboline","HMDB0012897","64961","109895","C20157",NA,"N1C2=CC=CC=C2C2=CC=NC=C12","1"
"N-Methylserotonin","N-Methylserotonin","HMDB0004369","150885","48294","C06212","7056","CNCCC1=CNC2=C1C=C(O)C=C2","1"
"5-Hydroxyindoleacetate","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"5-Phenyl-1,3-oxazinane-2,4-dione","5-Phenyl-1,3-oxazinane-2,4-dione","HMDB0060400","21350393","80594","C16596",NA,"OC1=NC(=O)OCC1C1=CC=CC=C1","1"
"N-Acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","21557","C02712",NA,"CSCC[C@H](NC(C)=O)C(O)=O","1"
"N-methylsalsolinol","(S)-N-Methylsalsolinol","HMDB0003892","124148",NA,NA,NA,"C[C@@H]1N(C)CCC2=CC(O)=C(O)C=C12","1"
"(-)-Salsoline","(-)-Salsoline","HMDB0012469","442356","761542","C09640",NA,"COC1=CC2=C(CCN[C@H]2C)C=C1O","1"
"3alpha,12alpha-Dihydroxy-5beta-cholanate","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"Chenodeoxycholate","Chenodeoxycholic acid","HMDB0000518","10133","16755","C02528","207","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"Allantoate","Allantoic acid","HMDB0001209","203","30837","C00499","343","NC(=O)NC(NC(N)=O)C(O)=O","1"
"Nomega,Nomega'-Dimethyl-L-arginine","Asymmetric dimethylarginine","HMDB0001539","123831","17929","C03626","6309","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"D-Tryptophan","D-Tryptophan","HMDB0013609","9060","16296","C00525",NA,"N[C@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Dihydrolipoate","Dihydrolipoate","HMDB0012210","421","18047","C02147",NA,"OC(=O)CCCCC(S)CCS","1"
"N-Acetyl-L-glutamate","N-Acetyl-L-glutamic acid","HMDB0001138","70914","17533","C00624","6031","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"o-methylhippurate","NA","NA","NA","NA","NA","NA","NA","0"
"5-L-Glutamyl-L-alanine","gamma-Glutamylalanine","HMDB0006248","440103","50619","C03740",NA,"C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"5-Hydroxy-L-tryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","439280","17780","C00643",NA,"N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"Porphobilinogen","Porphobilinogen","HMDB0000245","1021","17381","C00931","76","NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1","1"
"4-(2-Aminophenyl)-2,4-dioxobutanoate","4-(2-Aminophenyl)-2,4-dioxobutanoic acid","HMDB0000978","472","17442","C01252","5916","NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O","1"
"5-Phospho-beta-D-ribosylamine","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"N2-Succinyl-L-ornithine","N2-Succinyl-L-ornithine","HMDB0001199","127370","27574","C03415","6075","NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O","1"
"Formylkynurenine","N'-Formylkynurenine","HMDB0001200","910","18377","C02406",NA,"NC(CC(=O)C1=CC=CC=C1NC=O)C(O)=O","1"
"L-Formylkynurenine","L-Formylkynurenine","HMDB0060485","25202092","30249","C02700",NA,"N[C@@H](CC(=O)C1=CC=CC=C1NC=O)C(O)=O","1"
"(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","HMDB0012111","853019","50014","C16015",NA,"O[C@@H]([C@H](O)C1=CC=CC=C1)C1=CC=CC=C1","1"
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid","HMDB0004083","440741","27593","C05645",NA,"NC1=C(C=CC=C1O)C(=O)CC(=O)C(O)=O","1"
"Dimethylallyl diphosphate","Dimethylallylpyrophosphate","HMDB0001120","647","16057","C00235","6016","CC(C)=CCOP(O)(=O)OP(O)(O)=O","1"
"Isopentenyl diphosphate","Isopentenyl pyrophosphate","HMDB0001347","1195","16584","C00129","6181","CC(=C)CCOP(O)(=O)OP(O)(O)=O","1"
"Pyridoxal 5'-phosphate","Pyridoxal 5'-phosphate","HMDB0001491","1051","18405","C00018","6275","CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","1"
"tetradecanoate (n-C14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"6-Hydroxymelatonin","6-Hydroxymelatonin","HMDB0004081","1864","2198","C05643","7013","COC1=C(O)C=C2NC=C(CCNC(C)=O)C2=C1","1"
"histidyl-prolinamide","NA","NA","NA","NA","NA","NA","NA","0"
"(9Z)-Octadecenoic acid","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"17beta-estradiol-2,3-semiquinone","NA","NA","NA","NA","NA","NA","NA","0"
"4-hydroxyestrone","4-Hydroxyestrone","HMDB0005895","53477797",NA,NA,NA,"C[C@@]12CCC3C(CCC4=C3C=CC(O)=C4O)C1CCC2=O","1"
"16alpha-Hydroxyestrone","16b-Hydroxyestrone","HMDB0000313","22833517","87628","C05300","5302","[H][C@@]12C[C@H](O)C(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","1"
"17beta-estradiol-2,3-quinone","17beta-Estradiol-2,3-quinone","HMDB0060084","131769816",NA,NA,NA,"C[C@]12CC[C@@H]3[C@H](CCC4=CC(=O)C(=O)C=C34)[C@H]1CC[C@@H]2O","1"
"17beta-estradiol-3,4-semiquinone","NA","NA","NA","NA","NA","NA","NA","0"
"17beta-estradiol-3,4-quinone","17beta-Estradiol-3,4-quinone","HMDB0060085","131769817",NA,NA,NA,"C[C@]12CC[C@@H]3[C@H](CCC4=C3C=CC(=O)C4=O)[C@H]1CC[C@@H]2O","1"
"2-Hydroxyestrone","2-Hydroxyestrone","HMDB0000343","440623","1156","C05298","2579","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(O)=C3","1"
"Parathion","Parathion","HMDB0001355","991","27928","C06604",NA,"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O","1"
"Estradiol-17beta","Estradiol","HMDB0000151","5757","16469","C00951","263","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","1"
"13-OxoODE","13-OxoODE","HMDB0004668","6446027","68947","C14765",NA,"CCCCCC(=O)\C=C\C=C/CCCCCCCC(O)=O","1"
"Citalopram aldehyde","Citalopram aldehyde","HMDB0060462","9944000","80607","C16612",NA,"FC1=CC=C(C=C1)C1(CCC=O)OCC2=C1C=CC(=C2)C#N","1"
"13(S)-HODE","13-HODE","HMDB0004667","6443013","34154","C14762",NA,"CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O","1"
"12(13)-EpOME","12,13-EpOME","HMDB0004702","5356421","38299","C14826",NA,"CCCCCC1OC1C\C=C/CCCCCCCC(O)=O","1"
"9(10)-EpOME","9,10-Epoxyoctadecenoic acid","HMDB0004701","6246154","34494","C14825",NA,"CCCCC\C=C/CC1OC1CCCCCCCC(O)=O","1"
"3-Dehydrosphinganine","3-Dehydrosphinganine","HMDB0001480","439853","17862","C02934","3428","CCCCCCCCCCCCCCCC(=O)[C@@H](N)CO","1"
"Sphingosine","Sphingosine","HMDB0000252","5280335","16393","C00319","392","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"Sphinganine","Sphinganine","HMDB0000269","91486","16566","C00836","5268","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"6beta-Hydroxytestosterone","6beta-Hydroxytestosterone","HMDB0006259","18603089","34477","C14497",NA,"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@@H](O)C2=CC(=O)CC[C@]12C","1"
"19-Hydroxytestosterone","19-Hydroxytestosterone","HMDB0006769","440728","27406","C05294",NA,"[H]C12CC[C@H](O)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12CO","1"
"16alpha-Hydroxydehydroepiandrosterone","16a-Hydroxydehydroisoandrosterone","HMDB0000352","102030","27771","C05139","5341","[H][C@@]12C[C@@H](O)C(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C","1"
"S-Succinyldihydrolipoamide","(S)-Succinyldihydrolipoamide","HMDB0001177","439425","17432","C01169","6058","NC(=O)CCCC[C@H](CCS)SC(=O)CCC(O)=O","1"
"3'-Hydroxy-N-methyl-(S)-coclaurine","(S)-3-Hydroxy-N-methylcoclaurine","HMDB0006921","440591","17079","C05202",NA,"COC1=C(O)C=C2[C@H](CC3=CC(O)=C(O)C=C3)N(C)CCC2=C1","1"
"5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"18R-HEPE","18R-HEPE","HMDB0012611","53481496",NA,NA,NA,"CC[C@H](O)\C=C\C=C/C\C=C\C\C=C/C\C=C/CCCC(O)=O","1"
"5-HEPE","5-HEPE","HMDB0005081","6439678","72801",NA,NA,"CC\C=C/C\C=C/C\C=C/C\C=C/C=C/C(O)CCCC(O)=O","1"
"15(R)-HEPE","15-HEPE","HMDB0010209","53480357",NA,NA,NA,"CC\C=C/C(O)C\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
