,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_KEGG,ui_KEGG,gt_index,ui_index
29,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,263.0335083,234.48,28.553508300000004,0.6565265936403728,M153.054049T263.0335,C00642,C00642,188,135
30,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,263.0867157,234.48,28.606715700000024,0.3783000022269864,M154.058618T263.0867,C00642,C00642,188,139
31,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,Creatine,263.0867157,44.4,218.6867157,0.3783000022269864,M154.058618T263.0867,C00300,C00300,18,141
32,L-Histidine,L-histidine,60.79345703,43.08,17.71345703,0.008653628,M156.076881T60.7935,C00135,C00135,6,146
33,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.983902,317.76,117.77609799999999,0.5093768672005524,M160.07572T199.9839,C00637,C00637,303,150
34,Indole-3-acetaldehyde,Indole-3-acetaldehyde,381.0351896,317.76,63.27518960000003,0.667013809,M160.075976T381.0352,C00637,C00637,303,151
35,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.4473724,317.76,118.31262759999998,0.4078021244709586,M161.079275T199.4474,C00637,C00637,303,154
36,arachidonic acid,Arachidonic acid,43.25522041,585.36,542.10477959,0.4894895293401499,M164.118059T43.2552_2,C00219,C00219,508,155
37,L-Phenylalanine$,L-phenylalanine,162.4150543,163.62,1.2049456999999961,0.052684637,M166.086508T162.4151_6,C00079,C00079,109,161
38,L-Phenylalanine$,L-phenylalanine,162.4102936,163.62,1.209706400000016,0.046225477,M167.089818T162.4103_2,C00079,C00079,109,168
39,Pyridoxamine,Pyridoxamine,162.5963745,169.08,6.4836255000000165,0.036458055,M168.090948T162.5964,C00534,C00534,112,173
40,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,42.57835007,43.92,1.3416499300000027,0.2024177663849033,M169.058404T42.5784,C00064,C00064,15,178
41,L-Lysine,L-lysine,38.20912552,36.78,1.4291255199999995,0.7570211543996864,M169.094911T38.2091_2,C00047,C00047,1,181
42,Pyridoxamine,Pyridoxamine,167.6165924,169.08,1.4634076000000107,0.4564789581115535,M169.096734T167.6166,C00534,C00534,112,182
43,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,62.65639496,269.64,206.98360504,0.008779164,M170.040785T62.6564,C00025,C00025,236,185
44,L-Histidine,L-histidine,41.2218132,43.08,1.8581867999999986,0.0169946548530323,M178.059049T41.2218,C00135,C00135,6,190
45,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,346.8885498,205.68,141.20854980000001,0.3225869785593052,M181.071396T346.8885,C13747,C13747,150,199
46,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,346.8885498,183.18,163.70854980000001,0.3225869785593052,M181.071396T346.8885,C07480,C07480,123,200
47,L-Tyrosine$,L-tyrosine,80.90288162,77.04,3.862881619999996,0.4239567172941694,M182.081511T80.9029_5,C00082,C00082,51,205
48,L-Tyrosine$,L-tyrosine,80.90106964,77.04,3.8610696399999966,0.3588731548410575,M183.084823T80.9011_2,C00082,C00082,51,208
49,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione$N-Acetylmethionine",5-hydroxyindoleacetate,196.6753159,150.0,46.67531589999999,0.8257151355152514,M192.067214T196.6753_3,C05635,C05635,98,227
50,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione$N-Acetylmethionine",N-acetylmethionine,196.6753159,241.14000000000001,44.46468410000003,0.8257151355152514,M192.067214T196.6753_3,C02712,C02712,201,229
51,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,617.2410583,532.3199999999999,84.92105830000003,0.5269103468358738,M197.653575T617.2411_1,C04483,C04483,476,236
52,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,42.60302734,205.68,163.07697266000002,0.1352633207260456,M203.052973T42.603_8,C13747,C13747,150,247
53,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,42.60302734,183.18,140.57697266000002,0.1352633207260456,M203.052973T42.603_8,C07480,C07480,123,248
54,L-Tryptophan$D-Tryptophan,L-tryptophan,199.419281,200.64,1.2207189999999741,0.7018276835934618,M205.097436T199.4193_6,C00078,C00078,144,253
55,L-Tryptophan$D-Tryptophan,D-tryptophan,199.419281,234.42000000000002,35.000719000000004,0.7018276835934618,M205.097436T199.4193_6,C00525,C00525,187,254
56,L-Tryptophan$D-Tryptophan,L-tryptophan,199.4196472,200.64,1.2203527999999721,0.705807468,M206.100724T199.4196_3,C00078,C00078,144,255
57,L-Tryptophan$D-Tryptophan,D-tryptophan,199.4196472,234.42000000000002,35.0003528,0.705807468,M206.100724T199.4196_3,C00525,C00525,187,256
58,,Azelaic acid,402.3057556,304.56,97.7457556,0.6213656123667263,M211.094221T402.3058,C08261,C08261,286,258
59,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,199.9666367,117.36,82.60663670000001,0.5301820003121258,M221.092091T199.9666,C00643,C00643,67,262
60,$6-Hydroxymelatonin,6-hydroxymelatonin,33.62163353,353.04,319.41836647,0.5067696536594177,M271.102696T33.6216,C05643,C05643,333,283
61,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1605225,599.8199999999999,48.65947749999998,0.000133292,M283.263163T551.1605_2,C00712,C00712,514,285
62,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1730652,599.8199999999999,48.64693479999994,0.000201241,M284.266473T551.1731_2,C00712,C00712,514,286
63,3-Dehydrosphinganine$Sphingosine,D-sphingosine,576.2928162,503.04,73.25281619999993,0.012548539136386,M300.289651T576.2928_2,C00319,C00319,454,315
64,arachidonic acid,Arachidonic acid,38.07123947,585.36,547.28876053,0.5795832969618434,M305.245339T38.0712,C00219,C00219,508,323
65,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,38.07123947,599.8199999999999,561.7487605299999,0.5795832969618434,M305.245339T38.0712,C00712,C00712,514,324
66,Ubiquinone,Coenzyme Q1,586.5848083,379.62,206.96480829999996,0.0001307,M319.19282T586.5848,C00399,C00399,365,344
67,Ubiquinone,Coenzyme Q1,692.7913208,379.62,313.1713208,0.5561102454386789,M319.193194T692.7913,C00399,C00399,365,345
68,Ubiquinone,Coenzyme Q1,731.7684631,379.62,352.14846309999996,0.8617678033674986,M319.193368T731.7685,C00399,C00399,365,346
69,Ubiquinone,Coenzyme Q1,669.9451294,379.62,290.32512940000004,0.2868631861540239,M319.19335T669.9451,C00399,C00399,365,347
70,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,676.2363281,550.32,125.91632809999999,0.6905187048095455,M379.250628T676.2363_3,C06124,C06124,487,471
71,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,693.4037781,550.32,143.0837780999999,0.8513751514659597,M380.258133T693.4038,C06124,C06124,487,472
72,2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol,2-arachidonoyl glycerol,676.2172852,573.48,102.73728519999997,0.7707666644363995,M380.289764T676.2173_4,C13856,C13856,503,473
73,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholest-4-en-3-one,672.072937,673.14,1.067062999999962,0.1567283033776696,M385.34653T672.0729,C00599,C00599,77,483
74,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholecalciferol,672.072937,631.1999999999999,40.87293700000009,0.1567283033776696,M385.34653T672.0729,C05443,C05443,76,487
75,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,601.6932373,532.3199999999999,69.37323730000003,0.2094846059867929,M393.297745T601.6932,C04483,C04483,476,491
76,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,601.7047729,532.3199999999999,69.38477290000003,0.372434451,M394.301035T601.7048,C04483,C04483,476,493
77,2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol,2-arachidonoyl glycerol,676.5267944,573.48,103.04679439999995,0.4791589657152012,M401.266168T676.5268_2,C13856,C13856,503,512
78,Cholate,Cholate,711.6087036,505.43999999999994,206.16870360000007,0.7468768863819232,M409.292643T711.6087_2,C00695,C00695,456,516
79,Chenodeoxyglycocholate$,Glycochenodeoxycholate,637.7250366,504.9,132.82503659999998,0.2736012440771823,M450.325813T637.725,C05466,C05466,455,542
80,Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$testosterone glucuronide,Epitestosterone glucuronide,718.3981628,402.48,315.9181628,0.00909437,M465.250499T718.3982_2,C11134,C11134,388,546
81,Sphingomyelin,Palmitoyl sphingomyelin,713.6636658,677.1,36.56366579999997,0.1783922704464287,M754.590559T713.6637,C00550,C00550,79,562
82,"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4",Levothyroxine,435.1279602,435.9,0.7720397999999591,0.040436501,M777.692956T435.128,C01829,C01829,413,563
83,"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4",Levothyroxine,435.1380463,435.9,0.7619536999999923,0.2348928091210726,M778.696314T435.138,C01829,C01829,413,564
