"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","O=CCC1=CNC2=C1C=CC=C2","1"
"5-Acetamidopentanoate","5-Acetamidovalerate","HMDB0012175","439903","2024","C03087",NA,"CC(=O)NCCCCC(O)=O","1"
"2-Oxoadipate","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","OC(=O)CCCC(=O)C(O)=O","1"
"arachidonic acid","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"cis-2-Hydroxycinnamate","Coumarinic acid","HMDB0041592","5280841","28873","C05838",NA,"OC(=O)\C=C/C1=C(O)C=CC=C1","1"
"6-Deoxy-L-galactose","L-Fucose","HMDB0000174","17106","42548","C01019","5812","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"Perillic acid","Perillic acid","HMDB0004586","1256","36999","C11924",NA,"CC(=C)C1CCC(=CC1)C(O)=O","1"
"Dehydrospermidine","Dehydrospermidine","HMDB0012925",NA,"48007","C15853",NA,"NCCC\C=N\CCCN","1"
"3-Sulfopyruvate","3-Sulfopyruvic acid","HMDB0004045","440717","16894","C05528",NA,"OC(=O)C(=O)CS(O)(=O)=O","1"
"3-Methoxy-4-hydroxyphenylacetaldehyde","Homovanillin","HMDB0005175","151276","28111","C05581",NA,"COC1=C(O)C=CC(CC=O)=C1","1"
"4-Guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","15728","C01035","6938","NC(=N)NCCCC(O)=O","1"
"Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=C(O)C(CN)=C(CO)C=N1","1"
"2-Oxoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"Urate","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"L-Cysteate","Cysteic acid","HMDB0002757","25701","21260","C00506","332","NC(CS(O)(=O)=O)C(O)=O","1"
"D-Glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"Oxidized dithiothreitol","Oxidized dithiothreitol","HMDB0059664","439407","42147","C01119",NA,"O[C@H]1CSSC[C@@H]1O","1"
"Aryl sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"L-Citrulline","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"2-Aminomuconate","2-Aminomuconic acid","HMDB0001241","5280499","15745","C02220","321","N\C(=C\C=C/C(O)=O)C(O)=O","1"
"D-Glucose$beta-D-Glucose$beta-D-Fructose","NA","NA","NA","NA","NA","NA","NA","0"
"1,7-Dimethylxanthine","Paraxanthine","HMDB0001860","4687","25858","C13747","1457","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"2-methylbutyrylglycine$isovalerylglycine","NA","NA","NA","NA","NA","NA","NA","0"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"L-Iditol$D-Sorbitol$Galactitol","NA","NA","NA","NA","NA","NA","NA","0"
"11beta,17alpha,21-Trihydroxypregnenolone$11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione","NA","NA","NA","NA","NA","NA","NA","0"
"Selenophosphate","Phosphoroselenoic acid","HMDB0003840","1092","29269","C05172",NA,"OP(O)(O)=[Se]","1"
"3-Phosphohydroxypyruvate","Phosphohydroxypyruvic acid","HMDB0001024","105","30933","C03232","484","OC(=O)C(=O)COP(O)(O)=O","1"
"6-Methylmercaptopurine","6-Methylmercaptopurine","HMDB0060412","5778","28279","C16614",NA,"CSC1=NC=NC2=C1N=CN2","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","17752","C02727","5216","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"Oxalosuccinate","oxalosuccinate","HMDB0304444","972","7815","C05379",NA,"OC(=O)CC(C(O)=O)C(=O)C(O)=O","1"
"5,6-indolequinone-2-carboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"beta-carboline","beta-Carboline","HMDB0012897","64961","109895","C20157",NA,"N1C2=CC=CC=C2C2=CC=NC=C12","1"
"N-Methylserotonin","N-Methylserotonin","HMDB0004369","150885","48294","C06212","7056","CNCCC1=CNC2=C1C=C(O)C=C2","1"
"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione","NA","NA","NA","NA","NA","NA","NA","0"
"N-Acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","21557","C02712",NA,"CSCC[C@H](NC(C)=O)C(O)=O","1"
"N-methylsalsolinol$(-)-Salsoline","NA","NA","NA","NA","NA","NA","NA","0"
"3alpha,12alpha-Dihydroxy-5beta-cholanate","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"Allantoate","Allantoic acid","HMDB0001209","203","30837","C00499","343","NC(=O)NC(NC(N)=O)C(O)=O","1"
"Deoxyribose","Deoxyribose","HMDB0003224","22833604","28816","C01801","3258","OC[C@@H]1O[C@H](O)C[C@H]1O","1"
"Nomega,Nomega'-Dimethyl-L-arginine","Asymmetric dimethylarginine","HMDB0001539","123831","17929","C03626","6309","N[C@@H](CCC\N=C(/N)N(C)C)C(O)=O","1"
"L-Tryptophan$D-Tryptophan","NA","NA","NA","NA","NA","NA","NA","0"
"Dihydrolipoate","Dihydrolipoate","HMDB0012210","421","18047","C02147",NA,"OC(=O)CCCCC(S)CCS","1"
"L-Kynurenine$Formyl-5-hydroxykynurenamine","NA","NA","NA","NA","NA","NA","NA","0"
"N-Acetyl-L-glutamate","N-Acetyl-L-glutamic acid","HMDB0001138","70914","17533","C00624","6031","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"o-methylhippurate","NA","NA","NA","NA","NA","NA","NA","0"
"5-L-Glutamyl-L-alanine","gamma-Glutamylalanine","HMDB0006248","440103","50619","C03740",NA,"C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"5-Hydroxy-L-tryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","439280","17780","C00643",NA,"N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"(R)-Pantothenate","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"Porphobilinogen","Porphobilinogen","HMDB0000245","1021","17381","C00931","76","NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1","1"
"4-(2-Aminophenyl)-2,4-dioxobutanoate","4-(2-Aminophenyl)-2,4-dioxobutanoic acid","HMDB0000978","472","17442","C01252","5916","NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O","1"
"5-Phospho-beta-D-ribosylamine","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"N2-Succinyl-L-ornithine","N2-Succinyl-L-ornithine","HMDB0001199","127370","27574","C03415","6075","NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O","1"
"(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol","HMDB0012111","853019","50014","C16015",NA,"O[C@@H]([C@H](O)C1=CC=CC=C1)C1=CC=CC=C1","1"
"Formylkynurenine$L-Formylkynurenine","NA","NA","NA","NA","NA","NA","NA","0"
"Carbamazepine","Carbamazepine","HMDB0014704","2554","3387","C06868",NA,"NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12","1"
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoic acid","HMDB0004083","440741","27593","C05645",NA,"NC1=C(C=CC=C1O)C(=O)CC(=O)C(O)=O","1"
"Dimethylallyl diphosphate$Isopentenyl diphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"Pyridoxal 5'-phosphate","Pyridoxal 5'-phosphate","HMDB0001491","1051","18405","C00018","6275","CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","1"
"tetradecanoate (n-C14:0)","NA","NA","NA","NA","NA","NA","NA","0"
"$6-Hydroxymelatonin","NA","NA","NA","NA","NA","NA","NA","0"
"histidyl-prolinamide","NA","NA","NA","NA","NA","NA","NA","0"
"4(R)-hydroxy-dodec-6Z-enoate$4(S)-hydroxy-dodec-6Z-enoate","NA","NA","NA","NA","NA","NA","NA","0"
"(9Z)-Octadecenoic acid","Oleic acid","HMDB0000207","445639","16196","C00712","190","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"17beta-estradiol-2,3-semiquinone$4-hydroxyestrone$16alpha-Hydroxyestrone$17beta-estradiol-2,3-quinone$17beta-estradiol-3,4-semiquinone$17beta-estradiol-3,4-quinone$2-Hydroxyestrone","NA","NA","NA","NA","NA","NA","NA","0"
"Parathion","Parathion","HMDB0001355","991","27928","C06604",NA,"CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O","1"
"Estradiol-17beta","Estradiol","HMDB0000151","5757","16469","C00951","263","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","1"
"$$13-OxoODE","NA","NA","NA","NA","NA","NA","NA","0"
"Citalopram aldehyde","Citalopram aldehyde","HMDB0060462","9944000","80607","C16612",NA,"FC1=CC=C(C=C1)C1(CCC=O)OCC2=C1C=CC(=C2)C#N","1"
"13(S)-HODE","13-HODE","HMDB0004667","6443013","34154","C14762",NA,"CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O","1"
"3-Dehydrosphinganine$Sphingosine","NA","NA","NA","NA","NA","NA","NA","0"
"Sphinganine","Sphinganine","HMDB0000269","91486","16566","C00836","5268","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO","1"
"$6beta-Hydroxytestosterone","NA","NA","NA","NA","NA","NA","NA","0"
"S-Succinyldihydrolipoamide","(S)-Succinyldihydrolipoamide","HMDB0001177","439425","17432","C01169","6058","NC(=O)CCCC[C@H](CCS)SC(=O)CCC(O)=O","1"
"3'-Hydroxy-N-methyl-(S)-coclaurine","(S)-3-Hydroxy-N-methylcoclaurine","HMDB0006921","440591","17079","C05202",NA,"COC1=C(O)C=C2[C@H](CC3=CC(O)=C(O)C=C3)N(C)CCC2=C1","1"
"5-oxo-(6E,8Z,11Z,14Z)-eicosatetraenoic acid$18R-HEPE$5-HEPE$$15(R)-HEPE","NA","NA","NA","NA","NA","NA","NA","0"
"Phytosphingosine","Phytosphingosine","HMDB0004610","122121","46961","C12144","7066","CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO","1"
"Ubiquinone","Coenzyme Q10","HMDB0001072","5281915","46245","C11378","5983","COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O","1"
"allopregnanolone$3alpha-Hydroxy-5beta-pregnane-20-one","NA","NA","NA","NA","NA","NA","NA","0"
"Hexadecanoate (n-C16:0)","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
"(8Z,11Z,14Z)-Icosatrienoic acid","Dihomo-gamma-linolenic acid","HMDB0002925","5280581","53486","C03242","259","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O","1"
"4-oxo-9-cis-retinoate","NA","NA","NA","NA","NA","NA","NA","0"
"Dihydropteroate","7,8-Dihydropteroic acid","HMDB0001412","170","4581","C00921","6228","NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(O)=O)CN2)C(=O)N1","1"
"omega-carboxy-trinor-leukotriene B4","Omega-Carboxy-trinor-leukotriene B4","HMDB0013032","53481589","172560",NA,NA,"O[C@H](CCCC(O)=O)\C=C/C=C/C=C/[C@@H](O)C\C=C/CCC(O)=O","1"
"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate","5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid","HMDB0006273","165388","28413","C04751",NA,"NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(O)=O","1"
"N,N-Didesmethyltamoxifen","N-Didesmethyl-tamoxifen","HMDB0061086","3036172","80556","C16548",NA,"CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN)C=C1)C1=CC=CC=C1","1"
"11-Dehydrocorticosterone","11-Dehydrocorticosterone","HMDB0004029","13783449",NA,"C05490","7003","[H][C@@]12CCC(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"$20-oxo-leukotriene B4$12-oxo-20-hydroxy-leukotriene B4$15-oxo-lipoxin A4$20-hydroxy-leukotriene B5$15-epi-lipoxin B5$15-epi-lipoxin A5$PGH3","NA","NA","NA","NA","NA","NA","NA","0"
"(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate","15-Keto-prostaglandin E2","HMDB0003175","5280719","15547","C04707","2309","CCCCCC(=O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","1"
"Prostaglandin D2$w-hydroxyl leukotriene B4$Lipoxin B4","NA","NA","NA","NA","NA","NA","NA","0"
"octadecanoate (n-C18:0)","NA","NA","NA","NA","NA","NA","NA","0"
"$$$prostaglandin H1$$20-OH-10,11-dihydro-leukotriene B4","NA","NA","NA","NA","NA","NA","NA","0"
"Levomethadyl acetate","Levomethadyl Acetate","HMDB0015358","15130","6441","C08012",NA,"CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1","1"
"tetracosatetraenoic acid n-6","Tetracosatetraenoic acid (24:4n-6)","HMDB0006246","52921800","77526",NA,NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"12-oxo-20-carboxy-leukotriene B4","12-Oxo-20-carboxy-leukotriene B4","HMDB0012550","53481457",NA,NA,NA,"O[C@H](CCCC(O)=O)\C=C/C=C/C=C/C(=O)C\C=C/CCCCC(O)=O","1"
"N-arachidonoylglycine","N-Arachidonoylglycine","HMDB0005096","5283389","58961",NA,NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCC(O)=O","1"
"12-oxo-20-dihydroxy-leukotriene B4","12-oxo-20-dihydroxy-leukotriene B4","HMDB0012551","53481458",NA,NA,NA,"OC(O)CCCC\C=C/CC(=O)\C=C\C=C\C=C/[C@H](O)CCCC(O)=O","1"
"$$20-dihydroxyleukotriene B4$$$11-dehydrothromboxane B2","NA","NA","NA","NA","NA","NA","NA","0"
"$prostaglandin G1$10,11-dihydro-20-dihydroxy-LTB4","NA","NA","NA","NA","NA","NA","NA","0"
"$$$$$$$$$$$$$$","NA","NA","NA","NA","NA","NA","NA","0"
"3alpha-Hydroxy-5beta-cholanate","Lithocholic acid","HMDB0000761","9903","16325","C03990","209","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"nisinate$tetracosahexaenoic acid, n-3","NA","NA","NA","NA","NA","NA","NA","0"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5283560","37550","C06124","5272","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O","1"
"2-Arachidonoylglycerol","MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB0004666","5282280","52392","C13856",NA,"[H]C(CO)(CO)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"Pantetheine 4'-phosphate","Pantetheine 4'-phosphate","HMDB0001416","115254","4222","C01134",NA,"CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)NCCS","1"
"$$$$$","NA","NA","NA","NA","NA","NA","NA","0"
"Desmosterol","Desmosterol","HMDB0002719","439577","17737","C01802","423","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C","1"
"$alpha-Hydroxytamoxifen$Hydroxytamoxifen","NA","NA","NA","NA","NA","NA","NA","0"
"Citalopram","Citalopram","HMDB0005038","2771","77397","C07572","1781","CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1","1"
"1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3","NA","NA","NA","NA","NA","NA","NA","0"
"clupanodonic acid$docosa-4,7,10,13,16-pentaenoic acid (n-6)","NA","NA","NA","NA","NA","NA","NA","0"
"adrenic acid","Adrenic acid","HMDB0002226","5497181","53487","C16527","6560","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O","1"
"Sphinganine 1-phosphate","Sphinganine 1-phosphate","HMDB0001383","644260","16893","C01120","3512","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)COP(O)(O)=O","1"
"neurotensin 11-13","Neurotensin 11-13","HMDB0013024","53481585",NA,NA,NA,"CCC(C)[C@H](NC(=O)[C@H](N)CC1=CC=C(O)C=C1)C(=O)N[C@H](CC(C)C)C(O)=O","1"
"Cholate","Cholic acid","HMDB0000619","221493","16359","C00695","206","C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","1"
"fructoselysine 3-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"7alpha,12alpha-Dihydroxycholest-4-en-3-one$Calcitriol$23S,25-dihydroxyvitamin D3$7alpha,26-Dihydroxy-4-cholesten-3-one$$$7alpha,25-Dihydroxy-4-cholesten-3-one","NA","NA","NA","NA","NA","NA","NA","0"
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane$3alpha,7alpha,26-Trihydroxy-5beta-cholestane","NA","NA","NA","NA","NA","NA","NA","0"
"dTDP","dTDP","HMDB0001274","164628","18075","C00363","6129","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","1"
"Prostaglandin PGE2 glyceryl ester","Prostaglandin PGE2 glyceryl ester","HMDB0013045","53481593","176067",NA,NA,"CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)CC(=O)[C@H]1C\C=C/CCCC(=O)OC(CO)CO","1"
"$13'-hydroxy-gama-tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"heptadecanoyl carnitine","Heptadecanoyl carnitine","HMDB0006210","53477803","131887",NA,NA,"CCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol$3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane","NA","NA","NA","NA","NA","NA","NA","0"
"stearidonyl carnitine","Stearidonyl carnitine","HMDB0006463","53477835",NA,NA,NA,"CC\C=C/C\C=C/CC\C=C/CC\C=C/CCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate","3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate","HMDB0304159","73760490",NA,NA,NA,"CC(C)CCCC(C)C1CCC2C3=CCC4C(C)(CCC(O)C4(C)C([O-])=O)C3CCC12C","1"
"Chenodeoxyglycocholate","Chenodeoxycholic acid glycine conjugate","HMDB0000637","12544","36274","C05466","5610","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","1"
