SOURCE	TARGET	ENZYMES
C05490	C01058	1.1.1.146;1.14.15.4
C05490	C01780	1.3.99.6;1.14.15.4
C05490	C00762	1.1.1.146;1.14.15.4;1.14.99.10
C05490	C05453	1.3.99.6
C05490	C01985	1.1.1.146;1.14.15.4
C05490	C00535	1.3.99.6;1.14.15.4
C05490	C00410	1.3.99.6;1.14.15.4;1.14.99.10
C05490	C00619	1.3.99.6
C05490	C05475	1.3.99.6
C03772	C05139	
C00280	C05139	1.14.99.-;5.3.3.1;1.1.1.145;
C00735	C05139	1.14.99.-;5.3.3.1;1.1.1.145;
C00028	CE6234	1.14.99.1
C00028	C05938	;1.5.99.8
C05479	C05480	1.3.99.6;1.1.1.50;1.3.1.3
C00030	CE6234	1.14.99.1
C00030	C05938	;1.5.99.8
C05284	C18075	1.1.1.62
C00535	C05139	1.14.99.-;5.3.3.1;1.1.1.145;
C00535	C11134	2.4.1.17
C00535	C14497	1.14.14.1
C00535	C05294	1.14.14.1
C00535	tststeroneglc	2.4.1.17
C00410	C05139	;5.3.3.1;1.1.1.145
C00619	C05139	5.3.3.1
CE6185	CE6184	3.1.2.2
CE6185	C00010	3.1.2.2
C00010	C02934	2.3.1.50
C00010	C00836	;2.3.1.24
C00010	C00152	2.3.1.1
C00010	C00319	;2.3.1.24
C00010	C00065	;2.3.1.50
C00010	C00025	;2.3.1.61;2.3.1.1;1.2.4.2;1.8.1.4
C02642	C00241	3.5.1.6
C02642	C16630	3.5.2.2
C02642	C00906	3.5.2.2
C02642	C05145	3.5.1.6;3.5.2.2
C02642	C00060	3.5.1.6
C02642	C05100	3.5.1.6;3.5.2.2
C02642	C00099	3.5.1.6
C02642	C01342	3.5.1.6
C02642	C00014	3.5.1.6
C02642	C16631	3.5.1.6;3.5.2.2
C02642	C16632	3.5.1.6;3.5.2.2
C02642	C00429	3.5.2.2
C16630	C00906	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C07649	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C00178	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C16631	3.5.2.2
C00906	C00106	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C00429	1.3.1.2;2.4.2.4;3.5.2.2
C00906	C05100	3.5.2.2
C00060	C00319	;3.5.1.23
C00099	C00135	3.4.13.3;3.4.13.20
C00099	C00025	2.6.1.55;4.1.1.15;2.6.1.19
C01342	C00135	4.3.1.3
C01342	C00152	3.5.1.1
C01342	C00025	;2.6.1.1;6.3.1.2;1.4.1.2;1.4.1.4;3.5.1.2;3.5.1.3
C00014	C00135	4.3.1.3
C00014	C16612	1.4.3.4
C00014	C00152	3.5.1.38;3.5.1.1
C00014	C00065	;4.3.1.19;4.3.1.17
C00014	C00025	;6.3.5.2;6.3.5.5;6.3.4.2;3.5.1.38;6.3.1.2;1.4.1.3;1.4.1.2;1.4.1.4;3.5.1.2
C00014	C00217	3.5.1.2;3.5.1.38;3.5.1.35
C00327	C00049	6.3.4.5;6.3.5.4;6.1.1.12
C00327	C00169	;2.1.3.3
C00327	C00062	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00327	C01602	2.1.3.3
C00327	C03626	3.5.3.18
C00327	C00077	;2.1.3.3
C00327	C00020	;2.3.1.65;6.2.1.7;6.2.1.2;1.3.3.6;2.7.4.3;2.4.2.8;6.2.1.1;2.3.1.154;3.6.1.22;6.1.1.21;6.2.1.16;6.2.1.17;3.5.3.18;6.3.4.15;2.7.6.2;3.5.4.6;6.3.4.10;6.3.4.11;6.1.1.12;6.1.1.11;2.7.1.74;3.1.4.17;6.1.1.16;2.7.4.10;6.1.1.14;3.5.4.17;6.1.1.19;6.1.1.18;6.3.2.19;3.6.1.29;6.1.1.7;2.3.1.16;2.4.2.7;6.2.1.28;6.2.1.30;2.7.6.1;3.6.1.17;2.7.9.3;4.3.2.2;3.6.1.18;6.1.1.9;1.2.1.31;6.1.1.6;6.1.1.5;6.1.1.4;6.1.1.3;1.1.1.35;3.6.1.13;4.2.1.17;5.3.3.8;3.1.3.5;3.1.2.3;6.1.1.10;6.1.1.1;6.3.2.5;6.1.1.17;2.1.3.3;3.6.1.5;5.1.99.4;6.2.1.24;6.3.5.1;6.3.4.5;6.5.1.1;6.1.1.15;6.1.1.22;6.3.4.1;6.1.1.20;6.5.1.4;2.7.1.20;6.2.1.3;6.3.4.9;6.3.5.4;3.6.1.9;3.1.2.2;6.3.5.2;2.7.1.147;6.2.1.-;1.14.13.39;1.3.1.34;6.1.1.2
C00327	C00533	1.14.13.39
C00327	C03406	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00327	C05933	1.14.13.39
C00327	C00543	3.5.3.18
C00049	C00152	3.5.1.15;3.5.1.38;3.5.1.1;6.3.5.4
C00049	C00025	3.5.1.38;4.1.1.15;6.3.5.4;2.6.1.1
C00169	C00025	;6.3.5.5;2.6.1.13
C01602	C00025	2.6.1.13
C00077	C00025	;6.3.5.5;2.6.1.13
C00020	C00363	3.6.1.5
C00020	C00135	6.1.1.21
C00020	C00152	6.1.1.22;6.3.5.4
C00020	C00065	;6.1.1.11
C00020	C00025	;6.3.5.1;6.3.5.2;6.1.1.17;6.3.5.4
C00543	C16612	1.4.3.4
C02934	C00065	2.3.1.50
C02934	C00836	1.1.1.102
C02934	C00154	2.3.1.50
C00065	C00740	3.1.3.3
C00065	C02291	4.2.1.22
C00065	C02532	3.1.3.3
C00065	C02553	6.1.1.11
C00065	C00022	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C00065	G10621	;2.7.8.8;2.7.8.-
C00065	C01650	6.1.1.11
C00065	C00041	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C00065	C05699	4.2.1.22
C00065	C00101	2.1.2.1
C00065	C05167	4.3.1.19;4.3.1.17
C00065	C05698	4.2.1.22
C00065	C00188	;4.3.1.19
C00065	C01005	3.1.3.3
C00065	C00297	4.2.1.22
C00065	ps_hs	2.7.8.8
C00065	C00161	4.3.1.19;4.3.1.17
C00065	C00109	4.3.1.19
C00065	C00168	;2.6.1.51
C00065	C02737	;3.1.1.4;4.2.1.22;4.1.1.65;3.1.4.4;2.7.8.-;6.1.1.11;2.6.1.51;4.3.1.17;3.1.3.3;2.7.8.8;2.3.1.50;4.3.1.19;3.1.1.32;2.1.2.1
C00065	C00542	4.2.1.22
C00065	C00155	;4.2.1.22
C00065	C00097	;4.2.1.22
C00065	C00269	2.7.8.8;2.7.8.-
C00065	C00037	;4.3.1.19;2.6.1.51;4.3.1.17;2.1.2.1
C00065	C06481	6.1.1.11
C00065	C00114	;2.7.8.8;3.1.4.4;2.7.8.-
C00065	C02218	;4.3.1.17
C00065	C00143	;2.1.2.1
C00065	C00416	;3.1.4.4;3.1.1.32
C00065	C00055	;2.7.8.8;2.7.8.-
C00065	pchol_hs	2.7.8.8;3.1.4.4
C00065	pe_hs	2.7.8.8
C00065	C16636	6.1.1.11
C00065	C00154	;2.3.1.50
C00836	C03201	3.1.3.4
C00836	C12126	2.3.1.24;3.5.1.23
C00836	C05977	3.1.3.4
C00836	C03640	2.3.1.24
C00836	C00195	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00836	C00416	;3.1.3.4
C00836	C00162	3.5.1.23
C00836	C00319	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00836	C00550	2.7.8.27;3.1.4.12;2.3.1.24
C00836	C02960	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00836	C00040	;2.3.1.24
C18045	C01227	1.14.13.17;1.14.99.9;2.8.2.4;2.8.2.2;1.14.99.-;5.3.3.1;1.1.1.145;1.1.1.51;3.1.6.2
C01227	C05139	1.14.99.-;5.3.3.1;1.1.1.145
C05139	C01176	1.14.99.-;5.3.3.1;1.1.1.145
C05139	C15784	5.3.3.1
C05139	C04295	5.3.3.1;1.1.1.145
C05139	C00523	
C05139	C01034	5.3.3.1;1.1.1.145
C05139	C03205	5.3.3.1;1.1.1.145
C05139	C05140	5.3.3.1;1.1.1.145
C05139	C05485	5.3.3.1;1.1.1.145
C05139	C05489	5.3.3.1;1.1.1.145
C05139	C01953	5.3.3.1;1.1.1.145
C05139	C05138	1.14.99.-;5.3.3.1;1.1.1.145;
C05139	C01789	;5.3.3.1
C05139	C05487	5.3.3.1;1.1.1.145
C05139	C05488	5.3.3.1;1.1.1.145
CE6234	C04741	5.3.99.3
CE6234	CE6232	1.14.99.1
C11134	C00015	2.4.1.17
C11134	C00167	2.4.1.17
C00015	C00363	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00015	tststeroneglc	2.4.1.17
C00167	tststeroneglc	2.4.1.17
C00921	C00025	6.3.2.17;2.1.1.45;6.3.2.12
C00921	C00415	6.3.2.17;2.1.1.45;6.3.2.12
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00415	6.3.2.17;2.1.1.45;6.3.2.12
C00025	C01252	;2.6.1.7
C00025	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C01005	2.6.1.52
C00025	C00655	6.3.5.2
C00025	C00026	;2.3.1.61;2.6.1.9;2.6.1.5;2.6.1.6;2.6.1.7;2.6.1.1;2.6.1.2;2.6.1.3;2.6.1.52;2.6.1.-;1.4.1.3;1.4.1.2;1.4.1.4;2.6.1.55;2.1.1.45;2.6.1.16;2.4.2.14;6.1.1.17;2.6.1.13;1.1.99.2;2.6.1.23;2.6.1.39;1.14.11.1;2.6.1.19;1.1.1.95;1.2.4.2;1.14.11.18;1.1.99.24;1.14.11.16;2.3.2.2;6.3.5.1;6.3.2.17;6.3.2.12;1.5.1.9;3.4.11.4;3.5.1.38;1.8.1.4;2.7.2.11;6.3.1.2;6.3.2.2;1.14.11.4;2.6.1.40;2.6.1.42;2.1.2.5;2.6.1.65;1.5.1.8;2.6.1.22;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;1.14.11.2;2.3.1.1;3.5.2.9;4.1.1.15;1.14.11.8;1.5.1.7;1.5.1.12;3.5.1.2;3.5.1.3;1.1.1.42;1.1.1.41;4.1.1.19;2.6.1.57
C00025	C00288	;6.3.5.5
C00025	C05527	;2.6.1.1
C00025	C05951	2.3.2.2
C00025	C00082	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C03090	2.4.2.14
C00025	C09332	6.3.2.17
C00025	leuktrE4	2.3.2.2
C00025	C00664	2.1.2.5
C00025	C01127	2.6.1.1
C00025	C01165	;1.5.1.12;2.6.1.13
C00025	C01640	6.1.1.17
C00025	CE7087	2.3.2.2
C00025	C03912	1.5.1.12;
C00025	C00085	2.6.1.16
C00025	C00022	;1.8.1.4;2.3.1.1;2.6.1.2;2.6.1.40;2.3.2.2
C00025	C05167	1.4.1.3;1.4.1.2
C00025	C01717	;2.6.1.7
C00025	CE2095	2.6.1.-
C00025	C00439	2.1.2.5
C00025	C03227	2.6.1.7
C00025	C06112	6.1.1.17
C00025	C01045	2.1.2.5
C00025	C00075	;6.3.4.2
C00025	C00328	2.6.1.7
C00025	C05928	6.3.2.17;6.3.2.12
C00025	C05929	6.3.2.17;6.3.2.12
C00025	C00506	;4.1.1.15;2.6.1.1
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00407	2.6.1.42
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C02320	2.3.2.2
C00025	C00606	;4.1.1.15;2.6.1.1
C00025	C05548	2.6.1.39;2.6.1.65
C00025	C04640	6.3.5.3
C00025	C00141	2.6.1.6;2.6.1.42
C00025	C04376	6.3.5.3
C00025	C00119	2.4.2.14
C00025	C05729	2.3.2.2
C00025	C00024	;2.3.1.61;2.3.1.1;1.2.4.2;1.8.1.4
C00025	C01179	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C02727	2.6.1.39;2.6.1.65
C00025	CE2947	2.6.1.-
C00025	C00144	6.3.5.2
C00025	C01180	2.6.1.5
C00025	C00036	;2.6.1.1;6.3.1.2;1.4.1.2;1.4.1.4;3.5.1.2;3.5.1.3
C00025	C01419	3.4.11.4;2.3.2.2
C00025	C03541	6.3.2.17
C00025	C06054	2.6.1.52
C00025	C00123	2.6.1.6;2.6.1.42
C00025	C00234	6.3.2.17;6.3.2.12
C00025	leuktrF4	2.3.2.2
C00025	CE7086	2.3.2.2
C00025	C00956	2.6.1.39
C00025	leuktrC4	2.3.2.2
C00025	3spyr	2.6.1.1
C00025	C03232	2.6.1.52;1.1.1.95
C00025	C03284	2.6.1.22
C00025	C03465	2.6.1.42
C00025	C00449	1.5.1.8;1.5.1.9;1.5.1.7
C00025	C05932	2.6.1.13
C00025	C00322	;2.6.1.39;1.2.4.2;2.3.1.61
C00025	C00233	2.6.1.6;2.6.1.42
C00025	5dhf	6.3.2.17
C00025	C00671	2.6.1.42
C00025	C00857	6.3.5.1
C00025	C05946	2.6.1.23;2.6.1.1
C00025	C02356	2.6.1.2
C00025	C00041	;1.8.1.4;2.3.1.1;2.6.1.2;2.6.1.40;2.3.2.2
C00025	10fthf5glu	6.3.2.17
C00025	C00232	2.6.1.19
C00025	C03415	2.6.1.13
C00025	C00073	;2.3.1.1;2.6.1.5
C00025	C06002	2.6.1.22
C00025	C00352	2.6.1.16
C00025	C01205	2.6.1.40
C00025	C02512	2.3.2.2
C00025	C00957	;2.6.1.1;2.6.1.3
C00025	6thf	6.3.2.17
C00025	C02470	;2.6.1.7
C00025	C00101	2.1.2.5;6.3.2.17
C00025	C04076	1.5.1.9
C00025	C02987	6.1.1.17
C00025	C00051	;3.4.11.4;2.3.2.2
C00025	C00097	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00109	2.6.1.2
C00025	C00183	2.6.1.6;2.6.1.42
C00025	C01641	6.1.1.17
C00025	C05645	2.6.1.7
C00025	C06055	2.6.1.52
C00025	C03479	2.1.2.5
C00025	C03287	2.7.2.11
C00025	C05947	1.5.1.12;2.6.1.23;2.6.1.1
C00025	C00624	2.3.1.1
C00025	C00222	2.6.1.19;2.6.1.55
C00025	C05829	
C00025	C00166	2.6.1.57;2.6.1.5;2.6.1.9;2.6.1.1
C00025	C00669	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	7thf	6.3.2.17
C00025	C00349	2.6.1.22;2.6.1.40
C00025	C16619	6.3.5.2
C00025	C00161	1.4.1.3;1.4.1.2
C00025	C16618	6.3.5.2
C00025	C05711	2.3.2.2
C00025	5thf	6.3.2.17
C00363	C00364	2.7.4.12;3.6.1.5;2.7.4.9
C00363	C00459	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00363	C00055	2.7.1.48;3.6.1.5
C00363	C00458	2.7.1.40;2.7.1.48;2.7.4.6
C00363	C00206	2.7.1.48;2.7.4.6;2.7.4.9;2.7.1.40
C00363	C00460	2.7.1.48;2.7.4.6
C00363	C00131	2.7.1.48;2.7.4.6;2.7.4.9;2.7.1.40
C00363	C00130	3.6.1.5
C00363	C16634	2.7.1.48
C00363	C00454	2.7.1.40;2.7.4.6
C00363	C00112	2.7.4.6;3.6.1.5;2.7.1.40
C00363	C00144	3.6.1.5
C00363	C00475	2.7.1.48
C00363	C00299	2.7.1.48
C00363	C00044	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00363	C01344	2.7.4.6
C00363	C00081	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00363	C01345	2.7.4.6
C00363	C00035	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00363	C00201	2.7.4.6;2.7.1.40
C00363	C00705	2.7.1.40;2.7.4.6;2.7.1.48
C00363	C01346	2.7.1.48;2.7.4.9;2.7.4.6
C00363	C16633	2.7.1.48
C00363	G10619	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00363	C00105	2.7.1.48;3.6.1.5
C00363	C00075	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48;3.6.1.39
C00363	C00286	2.7.1.40;2.7.4.6;2.7.1.48
C00363	G10621	2.7.1.48;3.6.1.5
C00363	C00022	2.7.1.40
C00363	C00104	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00363	G10620	2.7.1.40;2.7.4.6;3.6.1.5;2.7.1.48
C00363	C00074	2.7.1.40
C00363	C00361	2.7.1.40;2.7.4.6;2.7.4.12;2.7.1.48
C14497	C03161	1.14.14.1
C14497	C03024	1.14.14.1
C00135	C05167	4.3.1.3
C00135	C01152	3.4.13.20
C00135	C00386	2.3.1.88;3.4.13.20;6.1.1.21;4.3.1.3;4.1.1.22;4.1.1.28;3.4.13.3
C00135	C02988	6.1.1.21
C00135	C11823	4.3.1.3
C00135	C01262	3.4.13.20
C00135	C00785	4.3.1.3
C00135	C01643	6.1.1.21
C00135	C00388	4.1.1.28;4.1.1.22
C03201	C00319	3.1.3.4
C12126	C00319	2.3.1.24;3.5.1.23
C05977	C00319	3.1.3.4
C03640	C00319	2.3.1.24
C00195	C00319	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00416	C00319	;3.1.3.4
C00162	C00319	3.5.1.23
C00162	C12144	3.5.1.23
C00319	C00124	;3.2.1.46
C00319	Rtotal	3.5.1.23
C00319	crm_hs	2.7.1.138;2.4.1.80;3.2.1.46;3.5.1.23;3.2.1.45
C00319	C00040	;2.3.1.24
C00319	C01747	3.2.1.46
C00319	C00550	2.7.8.27;3.1.4.12;2.3.1.24
C00319	C02960	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C16612	C05637	1.4.3.4
C16612	C07572	1.4.3.4
C16612	C05634	1.2.3.1;1.4.3.4
C16612	C03758	1.4.3.4
C16612	C05583	1.4.3.4
C16612	C00706	1.4.3.4
C16612	C00780	1.4.3.4
C16612	C03765	1.4.3.4
C16612	C00375	1.4.3.4
C16612	C00601	1.4.3.4
C16612	C00483	1.4.3.4
C16612	C05638	1.4.3.4
C16612	C01888	1.4.3.4
C16612	C05587	1.4.3.4
C16612	C05589	1.4.3.4
C16612	C00788	1.4.3.4
C16612	C16609	1.4.3.4
C16612	C00071	1.4.3.4
C16612	C00637	1.4.3.4
C16612	C02714	1.4.3.4
C16612	C00218	1.4.3.4
C16612	C16608	1.4.3.4
C16612	C05332	1.4.3.4
C16612	C05127	1.4.3.4
C16612	C05936	1.4.3.4
C16612	C00027	1.2.3.1;1.4.3.4
C16612	C05577	1.4.3.4
C16612	C00547	1.4.3.4
C16612	C05639	1.4.3.4
C16612	C00546	1.4.3.4
C16612	C05581	1.4.3.4
C16612	C04043	1.4.3.4
C16612	C00398	1.4.3.4
C16612	C05827	1.4.3.4
C16612	C16610	1.2.3.1;1.4.3.4
C16612	C05636	1.4.3.4
C16612	C05588	1.4.3.4
C00740	C01005	3.1.3.3
C00740	C02532	3.1.3.3
C00152	CE1556	2.3.1.1;3.5.1.15
C00152	C00064	3.5.1.38;6.3.5.4
C00152	C03402	6.1.1.22
C00152	C00024	2.3.1.1
C00152	C01637	6.1.1.22
C00152	C00033	3.5.1.15
C05650	C04874	1.14.16.5
C05650	C04317	;3.1.1.4;3.1.1.5;2.3.1.67;3.1.4.2;3.1.1.47;1.14.16.5;2.3.1.147;2.3.1.148;3.1.4.46
C05650	C03968	;1.14.16.5
C05650	C00670	;3.1.1.4;3.1.1.5;2.3.1.67;3.1.4.2;3.1.1.47;1.14.16.5;2.3.1.147;2.3.1.148;3.1.4.46
C05650	CE6488	;1.14.16.5
C05650	C03820	;1.14.16.5
C05650	C00116	1.14.16.5
C05650	CE6495	1.14.16.5
C05650	CE0520	;1.14.16.5
C12144	C12145	3.5.1.23
C03912	C05938	1.5.1.12;;1.5.99.8
C05947	C05938	1.5.1.12;1.5.99.8
C05938	C00148	1.5.1.12;;1.5.99.8
C05938	C04281	1.5.1.12;
C00217	C00819	3.5.1.2;3.5.1.38;3.5.1.35
